"Paper_ID","Year","N_Total","Design","Sport","BT_Classification","Comparator","Arm_Structure","Outcome_Domain","Outcome_Metric","Timepoint","Lower_Is_Better","IG_N","IG_Mean","IG_SD","CG_N","CG_Mean","CG_SD","Reported_Effect","N_Allocated_IG","N_Allocated_CG","Dropout_N_IG","Dropout_N_CG","Adherence_N_IG","Adherence_Total_IG","Adherence_Rate_IG","Adherence_N_CG","Adherence_Total_CG","Adherence_Rate_CG","Any_AE_N_IG","Any_AE_Total_IG","Any_AE_N_CG","Any_AE_Total_CG","AE_Type","AE_N_IG","AE_N_CG","Serious_AE_N_IG","Serious_AE_N_CG","Overall_AE_N","Overall_AE_Total","Notes","Source_Quote"
"Bahensky2021.pdf","2021","46","RCT","non-sport exercise/performance","yoga-based breathing","normal training","parallel","Physiological","Abdominal pressure at 3W/kg","Post (8 weeks)","FALSE","22","2.04","1.01","23","1.42","0.52","p < 0.05","23","23","","","","","","","","","","","","","0","46","One dropout due to medical reasons unrelated to intervention.","One participant did not complete the intervention for medical reasons unrelated to the intervention and was excluded",,,,,
"Conlon2022.pdf","2022","67","RCT","mixed/various sports","slow diaphragmatic breathing","paced breathing (12 cpm)","parallel","Performance","Shooting Accuracy","Post-intervention (Pressure test)","FALSE","23","32.30","20.27","23","35.91","16.21","p > 0.05","23","23","","","","","","","","","","","","","","","","","","Compared slow diaphragmatic breathing to a paced breathing active control.","There was no significant main effect for Group, F(2, 64) = 0.78, p = .461",,
"Deniz2025.pdf","2025","12","Crossover","resistance/strength","exhalation","inhalation","crossover","Performance","Total Volume Lifted (kg)","Post-exercise","FALSE","12","2410.42","395.06","12","2132.71","555.08","p = 0.025","12","12","0","0","12","12","100","12","12","100","0","12","0","12","None","0","0","0","0","0","12","Participants completed 3 breathing conditions counterbalanced.","A significant difference was observed between the exhalation and inhalation conditions (Z = 2.245, r = 0.648, p = 0.025)"
"Devipriya2026.pdf","2026","60","Before-after","non-sport exercise/performance","Bhramari Pranayama","within-subject baseline","crossover","Performance","Visual Reaction Time (VRT) Right Hand (ms)","Post-session","TRUE","60","201.35","19.62","60","223.67","21.48","p < 0.0001","60","60","0","0","60","60","100","60","60","100","0","60","0","60","None","0","0","0","0","0","60","Baseline values used as CG.","VRT demonstrated superior improvements, with the right hand decreasing from 223.67 ms to 201.35 ms"
"Fernandez2025.pdf","2025","13","Crossover","freediving","hook breathing","usual breathing","crossover","Physiological","SpO2 at 30s (%)","30s Post-apnea","FALSE","13","92","9","13","87","7.9","p = 0.022","13","13","0","0","13","13","100","13","13","100","4","13","4","13","mild pulmonary edema","4","4","0","0","4","13","1 participant excluded for severe pulmonary edema.","Four participants showed signs of mild pulmonary edema, after diving, coinciding in both protocols"
"Fesseler2025.pdf","2025","36","Crossover","running","pre-exercise hyperventilation","spontaneous breathing","crossover","Performance","Cumulative elevation gain (Sprint 1)","Post-sprint","FALSE","36","-12.89","2.78","36","-12.27","2.44","p = 0.1901","36","36","0","0","36","36","100","36","36","100","0","36","0","36","None","0","0","0","0","0","36","Values for cumulative elevation gain were negative in text.","sprint 1 (-12.89 ? 2.78 vs. -12.27 ? 2.44, MD = -0.66 [95% CI: -1.63, 0.33], P = 0.1901)"
"Gray2018.pdf","2018","7","Crossover","swimming","slow-paced breathing (30s)","no deep breathing","crossover","Performance","50-yard freestyle time (s)","Post-exercise","TRUE","7","28.18","1.59","7","28.45","1.90","p = 0.37","7","7","0","0","7","7","100","7","7","100","0","7","0","7","None","0","0","0","0","0","7","Time improvements were not statistically significant.","Average velocity for the 50-yard freestyle was higher for the DB30 compared to DBNO (1.77 ? 0.10 yards/sec vs. 1.76 ? 0.12 yards/sec p=0.37)"
"Grossman2021.pdf","2021","10","Crossover","cycling","breath holding (CONLD-BH)","free-breathing (CONLD)","crossover","Physiological","VO2 (L/min)","Post-exercise","FALSE","10","2.15","0.42","10","2.12","0.35","p > 0.05","10","10","0","0","10","10","100","10","10","100","0","10","0","10","None","0","0","0","0","0","10","","VO2 was unchanged with the addition of the 5 s apneic periods"
"Hakked2017.pdf","2017","30","RCT","swimming","pranayama/yogic breathing","usual training","parallel","Physiological","Maximum Voluntary Ventilation (MVV)","Post (30 days)","FALSE","14","115.45","31.44","13","97.65","20.37","p = 0.02","15","15","1","2","14","14","100","13","13","100","0","14","0","13","None","0","0","0","0","0","27","Dropouts: 1 YBP, 2 Control. 100% adherence among completers.","ANCOVA test showed a significant improvement in Maximum Voluntary Ventilation (MVV) (F(1,22) = 6.06, p = 0.02)"
"Iskra2026.pdf","2026","58","Crossover","non-sport exercise/performance","slow-paced breathing (6 CPM)","paced breathing (15 CPM)","crossover","Physiological","RMSSD (ms)","During intervention","FALSE","38","75.97","28.48","38","49.95","25.37","p < 0.001","38","38","0","0","38","38","100","38","38","100","","","","","breathing discomfort","","","0","0","","","Breathing discomfort measured separately. SPB6 showed higher HRV.","during SPB6, logRMSSD values were significantly higher compared to PB15, t(54) = 8.69, p < 0.001"
