Document ID,Document Name,Paper_ID: Identifier (AuthorYear).,Adverse_Events: Count and classification of negative side effects.,Adherence_Rate: Percentage of completed sessions versus prescribed.,Dropout_Rate: Percentage of participants lost to follow-up.,"Feasibility_Score: Quantitative or binary metric of intervention practicality, if reported.",View Link
1942af2be7703945_c09085e022a4fd26,Chiron2026.pdf,Chiron2026,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=1942af2be7703945_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
7b1ac0d72f2508b3_c09085e022a4fd26,Sakamoto2014.pdf,Sakamoto2014,"none of the subjects reporting apparent signs of reduced cerebral blood flow such as dizziness, lightheadedness, or paresthesia during the test",--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=7b1ac0d72f2508b3_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
d48ce1882771126e_c09085e022a4fd26,Stavrou2015.pdf,Stavrou2015,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=d48ce1882771126e_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
bf01c8ea811658ab_c09085e022a4fd26,Fernandez2025.pdf,Fernandez2025,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=bf01c8ea811658ab_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
8aed18aed71d1e73_c09085e022a4fd26,Yilmaz2025.pdf,Yilmaz2025,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=8aed18aed71d1e73_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
94070436ce60a616_c09085e022a4fd26,Citherlet2021.pdf,Citherlet2021,"Negative effects of tingling, numbness, dizziness, and heaviness were reported by 60% of the participants for the HV condition. Negative effects of heaviness and deafness were reported by 33% of participants for the WHBM.",--/--,1 participant was excluded because of a muscular injury,47% of the participants asserted to use the WHBM in the future while 53% did not.,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=94070436ce60a616_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
baeafcea2155d36b_c09085e022a4fd26,Deniz2025.pdf,Deniz2025,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=baeafcea2155d36b_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
2fae7b981093ff39_c09085e022a4fd26,bahensky2021.pdf,bahensky2021,--/--,13.3 ± 2.8 min per day,One participant did not complete the intervention for medical rea- sons unrelated to the intervention and was excluded from the study.,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=2fae7b981093ff39_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
5a695e112160eec2_c09085e022a4fd26,Vaidya2021.pdf,Vaidya2021,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=5a695e112160eec2_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
acd7a82153eb8d17_c09085e022a4fd26,Spiering2004.pdf,Spiering2004,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=acd7a82153eb8d17_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
bc7bacb9af8a183b_c09085e022a4fd26,Kasap2025.pdf,Kasap2025,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=bc7bacb9af8a183b_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
bd02599e5a7211d_c09085e022a4fd26,Sakamoto2018.pdf,Sakamoto2018,severe paresthesia or dizziness,--/--,4,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=bd02599e5a7211d_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
d55fbc4accbd53c8_c09085e022a4fd26,Raidl2026.pdf,Raidl2026,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=d55fbc4accbd53c8_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
80a524583777d232_c09085e022a4fd26,Merlin2024.pdf,Merlin2024,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=80a524583777d232_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
5a6fe464b9f00272_c09085e022a4fd26,Katz2026.pdf,Katz2026,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=5a6fe464b9f00272_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
55af67c00adcc959_c09085e022a4fd26,Hakked2017.pdf,Hakked2017,--/--,100%,3,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=55af67c00adcc959_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
aa1029e2f806803b_c09085e022a4fd26,Devipriya2026.pdf,Devipriya2026,--/--,--/--,15%,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=aa1029e2f806803b_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
aab04d8f26296f7c_c09085e022a4fd26,Durand2004.pdf,Durand2004,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=aab04d8f26296f7c_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
5fb8d8a052e780fc_c09085e022a4fd26,FernandezBarradas2026.pdf,"Fernández-Barradas EY, Reynoso- Sánchez LF, Herrera-Meza S, López- Walle JM and Martínez-Moreno AG (2026)",--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=5fb8d8a052e780fc_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
7337c4e1e02e5449_c09085e022a4fd26,You2023.pdf,You2023,--/--,--/--,3.8%,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=7337c4e1e02e5449_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
4525cf2c95849e55_c09085e022a4fd26,Sakamoto2015.pdf,Sakamoto2015,None of the subjects complained of any major adverse effects such as paresthesia or dizziness with the hyperventilation method.,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=4525cf2c95849e55_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
de24f7b584d356eb_c09085e022a4fd26,Fernandez2019.pdf,Fernandez2019,pulmonary edema may compromise recovery and has led to one lethal outcome in competition.,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=de24f7b584d356eb_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
3f2a63f0233014f2_c09085e022a4fd26,Taylor2021.pdf,Taylor L. Buchanan; Christopher M. Janelle,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=3f2a63f0233014f2_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
7496512d652df743_c09085e022a4fd26,Sikora2024.pdf,Sikora2024,--/--,--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=7496512d652df743_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
51914be4d122c289_c09085e022a4fd26,Li2024.pdf,Li2024,--/--,--/--,5,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=51914be4d122c289_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
c0b05ce4631340d_c09085e022a4fd26,Lindholm2005.pdf,Lindholm2005,"GI may cause orthostatic syncope as a consequence of reduced venous return. Apnea for too long a period following GE may lead to syncope from hypoxemia, due to the reduction in pulmonary oxygen stores. Furthermore, the medical risks associated with these maneuvers are not yet known in detail.",--/--,--/--,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=c0b05ce4631340d_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link
