Paper_ID,sample_size
Durand2000.pdf,22
Spiering2004.pdf,78
Lindholm2005.pdf,5
Woorons2008.pdf,16
Guimard2014.pdf,15
Malakhov2014.pdf,66
Sakamoto2014.pdf,15
Fujii2015.pdf,11
Jacob2015.pdf,14
Sakamoto2015.pdf,15
Stavrou2015.pdf,28
Woorons2016.pdf,16
Burtch2017.pdf,25
Hakked2017.pdf,30
Kacoglu2017.pdf,14
Pelka2017.pdf,27
Trincat2017.pdf,16
Woorons2017.pdf,9
FornasierSantos2018.pdf,35
Gray2018.pdf,7
Lim2018.pdf,10
Sakamoto2018.pdf,17
Fernandez2019.pdf,25
Laborde2019.pdf,120
Woorons2019.pdf,10
Woorons2019b.pdf,18
Bouten2020.pdf,11
Lapointe2020.pdf,17
Robertson2020.pdf,9
Sakamoto2020.pdf,11
Woorons2020.pdf,16
Bahensky2021.pdf,46
Citherlet2021.pdf,16
Dobashi2021.pdf,11
Grossman2021.pdf,10
Taylor2021.pdf,50
Vaidya2021.pdf,30
Brocherie2022.pdf,43
Conlon2022.pdf,67
Marko2022.pdf,23
You2023.pdf,78
Braham2024.pdf,16
Buxton2024.pdf,18
Li2024.pdf,30
Merlin2024.pdf,13
Rosa2024.pdf,14
Sikora2024.pdf,69
Woorons2024.pdf,20
Deniz2025.pdf,12
Fernandez2025.pdf,13
Fesseler2025.pdf,36
Fox2025.pdf,404
Kasap2025.pdf,40
Liapaki2025.pdf,15
Lorinczi2025.pdf,20
Yilmaz2025.pdf,12
Chiron2026.pdf,22
Devipriya2026.pdf,60
FernandezBarradas2026.pdf,34
Iskra2026.pdf,58
Jing2026.pdf,20
Jones2026.pdf,77
Katz2026.pdf,40
Raidl2026.pdf,20
Tomita2026.pdf,26
