document_id,document_name,paper_id,n_total,age_mean,age_sd,sex_ratio,view_link,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,male_n,female_n
,,Durand2004,22,23.85,1.15,,,22,23.85,1.1500000000000001,,,
,,Spiering2004,,,,,,,,,,,
,,Lindholm2005,,,,,,,,,,,
,,Malakhov2014,66,21.1,2.8,43.93,,66,21.1,2.8,0.4393,28.9938,37.0062
,,Sakamoto2014,13,21.2,1.9,100.0,,13,21.2,1.9,1,13,0
,,Sakamoto2015,15,21.2,3.7,66.67,,15,21.2,3.7,0.6666999999999998,10.000499999999997,4.999500000000002
,,Stavrou2015,28,15.8,1.0,50.0,,28,15.8,1,0.5,14,14
,,Hakked2017,27,15.15,1.42,48.15,,27,15.15,1.42,0.4815,13.000499999999999,13.9995
,,Sakamoto2018,17,20.36,0.9,82.35,,17,20.36,0.9,0.8234999999999999,13.999499999999998,3.0005000000000015
,,Fernandez2019,,,,100.0,,,,,1,,
,,Citherlet2021,15,24.5,2.3,100.0,,15,24.5,2.3,1,15,0
,,Taylor2021,47,,,36.17,,47,,,0.3617,16.9999,30.0001
,,Vaidya2021,,,,,,,,,,,
,,,,,,Yoga/Pranayama,,,,,,,
,,Marko2022,19,16.6,1.53,57.89,,19,16.6,1.53,0.5789,10.999099999999999,8.000900000000001
,,You2023,75,22.32,2.11,29.33,,75,22.32,2.11,0.2933,21.9975,53.0025
,,Braham2024,24,,,0.0,,24,,,0,0,24
,,Li2024,22,19.6,1.2,81.81,,22,19.6,1.2,0.8181,17.9982,4.001799999999999
,,Merlin2024,13,13.9,0.38,42.85,,13,13.9,0.38,0.42849999999999994,5.570499999999999,7.429500000000002
,,Sikora2024,91,21.05,1.56,48.35,,91,21.05,1.56,0.48349999999999993,43.99849999999999,47.00150000000001
,,Woorons2024,20,20.1,2.5,50.0,,20,20.1,2.5,0.5,10,10
,,Deniz2025,12,27.92,7.38,100.0,,12,27.919999999999998,7.38,1,12,0
,,Fernandez2025,13,42.0,9.0,100.0,,13,42,9,1,13,0
,,Fesseler2025,36,24.0,1.8,50.0,,36,24,1.8,0.5,18,18
,,Fox2025,404,37.0,10.0,43.81,,404,37,10,0.43809999999999993,176.99239999999998,227.00760000000002
,,Kasap2025,40,20.95,1.75,62.5,,40,20.95,1.75,0.625,25,15
,,Yilmaz2025,17,22.6,1.9,100.0,,17,22.6,1.9,1,17,0
,,Chiron2026,22,22.3,3.0,68.18,,22,22.3,3,0.6818,14.9996,7.000400000000001
,,Devipriya2026,60,21.35,1.79,50.0,,60,21.35,1.79,0.5,30,30
,,FernandezBarradas2026,34,16.97,0.8,100.0,,34,16.97,0.8,1,34,0
,,Iskra2026,38,23.0,2.4,39.65,,38,23,2.4,0.39649999999999996,15.066999999999998,22.933
,,Katz2026,40,24.8,6.8,80.0,,40,24.8,6.8,0.8,32,7.999999999999998
,,Raidl2026,,,,,,,,,,,
,,Tomita2026,26,19.0,1.8,46.15,,26,19,1.8,0.46149999999999997,11.998999999999999,14.001
