document_id,document_name,paper_id,bt_classification,dose_frequency,dose_duration,comparator_type,view_link,bt_category,dose_duration_days,dose_frequency_week
,,Durand2004,Other,,,Active control,,other_unclear,,
,,Spiering2004,,Hyperventilation,,,,other_unclear,,
,,Lindholm2005,,Other,,,,other_unclear,,
,,Malakhov2014,Hyperventilation,1,1,Crossover baseline,,hyperventilation,1,1
,,Sakamoto2014,Hyperventilation,1,1,Crossover baseline,,hyperventilation,1,1
,,Sakamoto2015,Hyperventilation,1,1,Crossover baseline,,hyperventilation,1,1
,,Stavrou2015,Hypoventilation,,112,Active control,,hypoventilation,112,
,,Hakked2017,Yoga/Pranayama,5,30,Passive control,,pranayama_yogic,30,5
,,Sakamoto2018,Hyperventilation,1,1,Crossover baseline,,hyperventilation,1,1
,,Fernandez2019,Other,1,1,Crossover baseline,,other_unclear,1,1
,,Citherlet2021,Wim Hof,1,1,Crossover baseline,,hyperventilation,1,1
,,Taylor2021,Paced Breathing,1,1,Crossover baseline,,paced_breathing,1,1
,,Vaidya2021,,Yoga/Pranayama,,,,other_unclear,,
,,,7,56,Passive control,Subclavian Sector Engagement,,other_unclear,,56
,,Marko2022,Wim Hof,7,28,Passive control,,hyperventilation,28,7
,,You2023,Paced Breathing,1,1,Crossover baseline,,paced_breathing,1,1
,,Braham2024,Hypoventilation,2,42,Active control,,hypoventilation,42,2
,,Li2024,Paced Breathing,1,1,Crossover baseline,,paced_breathing,1,1
,,Merlin2024,Paced Breathing,,42,Passive control,,paced_breathing,42,
,,Sikora2024,Other,,1,Active control,,other_unclear,1,
,,Woorons2024,Hypoventilation,2,28,Active control,,hypoventilation,28,2
,,Deniz2025,Valsalva,1,1,Crossover baseline,,breath_holding,1,1
,,Fernandez2025,Other,1,1,Crossover baseline,,other_unclear,1,1
,,Fesseler2025,Hyperventilation,1,1,Crossover baseline,,hyperventilation,1,1
,,Fox2025,Wim Hof,1,29,Active control,,hyperventilation,29,1
,,Kasap2025,Paced Breathing,1,1,Crossover baseline,,paced_breathing,1,1
,,Yilmaz2025,Hyperventilation,1,1,Crossover baseline,,hyperventilation,1,1
,,Chiron2026,Paced Breathing,3,8,Passive control,,paced_breathing,8,3
,,Devipriya2026,Yoga/Pranayama,1,1,None,,pranayama_yogic,1,1
,,FernandezBarradas2026,Paced Breathing,2,63,None,,paced_breathing,63,2
,,Iskra2026,Paced Breathing,1,1,Crossover baseline,,paced_breathing,1,1
,,,,,,,,other_unclear,,
,,Katz2026,Other,1,1,Crossover baseline,,other_unclear,1,1
,,Raidl2026,,Paced Breathing,,,,other_unclear,,
,,Tomita2026,Paced Breathing,1,1,Crossover baseline,,paced_breathing,1,1
