document_id,document_name,paper_id,cg_n,cg_mean,cg_dispersion,effect_estimate,view_link,outcome_index,cg_n_num,cg_mean_num,cg_sd_num
,,Durand2004,11,4.8,0.1,,,1,11,4.8,0.1
,,Spiering2004,,,,,,2,,,
,,Lindholm2005,,,,,,3,,,
,,Malakhov2014,38,7.06,1.68,,,4,38,7.06,1.6800000000000002
,,Sakamoto2014,13,7.367,0.027,,,5,13,7.366999999999999,0.027
,,Sakamoto2015,15,234.0,58.4,,,6,15,234,58.4
,,Stavrou2015,14,170.0,13.0,,,7,14,170,13
,,Hakked2017,13,97.65,20.37,,,8,13,97.64999999999999,20.37
,,Hakked2017,13,2.39,0.75,,,9,13,2.3899999999999997,0.75
,,Hakked2017,13,3.08,0.86,,,10,13,3.08,0.8600000000000001
,,Sakamoto2018,17,7.403,0.014,,,11,17,7.4030000000000005,0.014
,,Sakamoto2018,17,38.3,2.6,,,12,17,38.3,2.6
,,Fernandez2019,,,,,,13,,,
,,Citherlet2021,15,501.9,104.5,,,14,15,501.9,104.5
,,Citherlet2021,15,418.2,84.3,,,15,15,418.2,84.3
,,Citherlet2021,15,4.6,2.2,,,16,15,4.6,2.2
,,Citherlet2021,15,7.5,1.2,,,17,15,7.5,1.2
,,Taylor2021,47,729.11,268.46,,,18,47,729.11,268.46
,,Taylor2021,47,303.28,225.36,,,19,47,303.28,225.36
,,Vaidya2021,,,,,,20,,,
,,,0.63,0.42,,,,21,0.63,0.42000000000000004,
,,Marko2022,8,96.36,11.13,,,22,8,96.36,11.129999999999999
,,Marko2022,8,1.92,0.23,,,23,8,1.92,0.23
,,You2023,75,62.84,35.96,,,24,75,62.839999999999996,35.96
,,You2023,75,65.62,10.45,,,25,75,65.61999999999999,10.450000000000001
,,Braham2024,8,19.5,1.7,,,26,8,19.5,1.7
,,Li2024,22,56.9,1.42,,,27,22,56.9,1.42
,,Li2024,22,157.0,5.78,,,28,22,157,5.78
,,Merlin2024,6,4.78,1.54,,,29,6,4.78,1.54
,,Merlin2024,6,10.4,1.52,,,30,6,10.4,1.52
,,Sikora2024,22,4.05,0.95,,,31,22,4.05,0.9500000000000001
,,Sikora2024,22,4.85,0.95,,,32,22,4.85,0.9500000000000001
,,Woorons2024,10,24.4,4.2,,,33,10,24.4,4.2
,,Woorons2024,10,9.0,0.6,,,34,10,9,0.6
,,Deniz2025,12,23.5,1.0,,,35,12,23.5,1
,,Deniz2025,12,2410.42,395.06,,,36,12,2410.42,395.06
,,Deniz2025,12,7.14,1.51,,,37,12,7.14,1.51
,,Fernandez2025,13,93.0,8.9,5.08,,38,13,93,8.9
,,Fesseler2025,36,84.31,26.0,,,39,36,84.31,26
,,Fesseler2025,36,12.05,3.22,,,40,36,12.05,3.22
,,Fox2025,,,,,,41,,,
,,Kasap2025,40,159.05,10.38,,,42,40,159.05,10.38
,,Kasap2025,40,15.25,1.35,,,43,40,15.25,1.35
,,Yilmaz2025,17,11.9,1.05,,,44,17,11.9,1.05
,,Yilmaz2025,17,8.6,0.67,,,45,17,8.6,0.6699999999999999
,,Yilmaz2025,17,38.3,4.2,,,46,17,38.3,4.2
,,Chiron2026,11,55.57,4.34,,,47,11,55.57,4.34
,,Chiron2026,11,0.249,0.122,,,48,11,0.24900000000000003,0.12200000000000001
,,Devipriya2026,60,186.42,18.35,,,49,60,186.42000000000002,18.35
,,FernandezBarradas2026,34,14.82,4.97,,,50,34,14.82,4.970000000000001
,,FernandezBarradas2026,34,12.85,4.99,,,51,34,12.850000000000001,4.99
,,Iskra2026,38,39.39,18.55,,,52,38,39.39,18.55
,,Iskra2026,,,,,,53,,,
,,,,,,,,54,,,
,,Iskra2026,,,,,,55,,,
,,,,,,,,56,,,
,,Katz2026,40,160.7,49.6,,,57,40,160.7,49.6
,,Raidl2026,,,,,,58,,,
,,Tomita2026,26,-2.0,11.0,,,59,26,-2,11
,,Tomita2026,26,153.0,14.7,,,60,26,153,14.7
,,Tomita2026,26,86.8,11.6,,,61,26,86.8,11.6
