document_id,document_name,paper_id,adverse_events,adherence_rate,dropout_rate,feasibility_score,view_link,adherence_prop,dropout_prop
,,Durand2004,,,,,,,
,,Spiering2004,,,,,,,
,,Lindholm2005,,,,,,,
,,Malakhov2014,,,,,,,
,,Sakamoto2014,,,,,,,
,,Sakamoto2015,,,,,,,
,,Stavrou2015,,,,,,,
,,Hakked2017,,,,,,,
,,Sakamoto2018,,,,,,,
,,Fernandez2019,,,,,,,
,,Citherlet2021,tingling numbness dizziness heaviness,,,,,,
,,Taylor2021,,,,,,,
,,Vaidya2021,,,,bahensky2021,,,
,,,,,,,,,
,,Marko2022,,,,,,,
,,You2023,,,,,,,
,,Braham2024,,,,,,,
,,Li2024,,,,,,,
,,Merlin2024,,,,,,,
,,Sikora2024,,,,,,,
,,Woorons2024,,,,,,,
,,Deniz2025,,,,,,,
,,Fernandez2025,mild pulmonary edema,,,,,,
,,Fesseler2025,unpleasant,,,,,,
,,Fox2025,,,,,,,
,,Kasap2025,,,,,,,
,,Yilmaz2025,,,,,,,
,,Chiron2026,,,,,,,
,,Devipriya2026,,,,,,,
,,FernandezBarradas2026,,,,,,,
,,Iskra2026,,,,,,,
,,Katz2026,,,,,,,
,,Raidl2026,,,,,,,
,,Tomita2026,,,,,,,
