table,paper_id,source_row,issue
source_study_level,NA,21,missing_publication_year
source_rows,NA,21,missing_or_invalid_paper_id
source_rows,NA,54,missing_or_invalid_paper_id
source_rows,NA,56,missing_or_invalid_paper_id
demographics,Spiering2004,NA,missing_or_unparseable_n_total
demographics,Lindholm2005,NA,missing_or_unparseable_n_total
demographics,Fernandez2019,NA,missing_or_unparseable_n_total
demographics,Vaidya2021,NA,missing_or_unparseable_n_total
demographics,NA,NA,missing_or_unparseable_n_total
demographics,Raidl2026,NA,missing_or_unparseable_n_total
interventions,Durand2004,NA,other_or_unclear_bt_category
interventions,Spiering2004,NA,other_or_unclear_bt_category
interventions,Lindholm2005,NA,other_or_unclear_bt_category
interventions,Fernandez2019,NA,other_or_unclear_bt_category
interventions,Vaidya2021,NA,other_or_unclear_bt_category
interventions,NA,NA,other_or_unclear_bt_category
interventions,Sikora2024,NA,other_or_unclear_bt_category
interventions,Fernandez2025,NA,other_or_unclear_bt_category
interventions,NA,NA,other_or_unclear_bt_category
interventions,Katz2026,NA,other_or_unclear_bt_category
interventions,Raidl2026,NA,other_or_unclear_bt_category
intervention_effects,Spiering2004,NA,incomplete_intervention_effect_fields
intervention_effects,Lindholm2005,NA,incomplete_intervention_effect_fields
intervention_effects,Fernandez2019,NA,incomplete_intervention_effect_fields
intervention_effects,Vaidya2021,NA,incomplete_intervention_effect_fields
intervention_effects,NA,NA,incomplete_intervention_effect_fields
intervention_effects,NA,NA,incomplete_intervention_effect_fields
intervention_effects,Raidl2026,NA,incomplete_intervention_effect_fields
control_effects,Spiering2004,NA,incomplete_control_effect_fields
control_effects,Lindholm2005,NA,incomplete_control_effect_fields
control_effects,Fernandez2019,NA,incomplete_control_effect_fields
control_effects,Vaidya2021,NA,incomplete_control_effect_fields
control_effects,NA,NA,incomplete_control_effect_fields
control_effects,Fox2025,NA,incomplete_control_effect_fields
control_effects,Iskra2026,NA,incomplete_control_effect_fields
control_effects,NA,NA,incomplete_control_effect_fields
control_effects,Iskra2026,NA,incomplete_control_effect_fields
control_effects,NA,NA,incomplete_control_effect_fields
control_effects,Raidl2026,NA,incomplete_control_effect_fields
