sport_discipline,n,relative_frequency,label
none,7,0.2,7 (20.0%)
various,6,0.17142857142857143,6 (20.0%)
freediving,3,0.08571428571428572,3 (20.0%)
running,3,0.08571428571428572,3 (20.0%)
swimming,3,0.08571428571428572,3 (20.0%)
resistance training,2,0.05714285714285714,2 (20.0%)
american football,1,0.02857142857142857,1 (20.0%)
competitive,1,0.02857142857142857,1 (20.0%)
cricket,1,0.02857142857142857,1 (20.0%)
cycling,1,0.02857142857142857,1 (20.0%)
endurance,1,0.02857142857142857,1 (20.0%)
judo,1,0.02857142857142857,1 (20.0%)
skating,1,0.02857142857142857,1 (20.0%)
soccer,1,0.02857142857142857,1 (20.0%)
team sports,1,0.02857142857142857,1 (20.0%)
track and field,1,0.02857142857142857,1 (20.0%)
unclear,1,0.02857142857142857,1 (20.0%)
