paper_id,document_name,outcome_index,outcome_metric,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,effect_estimate,bt_classification,bt_category,outcome_lower,direction_multiplier,analysis_cluster,complete_for_smd,yi,vi,hedges_g_raw,variance_raw,hedges_g_normalized,variance_normalized,dispersion_assumption
Durand2004,,1,FEV1,11,4.7,0.2,11,4.8,0.1,,Other,other_unclear,fev1,1,,TRUE,-0.6083871418738885,0.19195309621566345,-0.6083871418738885,0.19195309621566345,-0.6083871418738885,0.19195309621566345,IG_Dispersion and CG_Dispersion treated as SD
Malakhov2014,,4,V mm s-1,38,37.760000000000005,29,38,7.06,1.6800000000000002,,Hyperventilation,hyperventilation,v mm s-1,1,,TRUE,1.4794018422482023,0.06777726020231363,1.4794018422482023,0.06777726020231363,1.4794018422482023,0.06777726020231363,IG_Dispersion and CG_Dispersion treated as SD
Sakamoto2014,,5,Resting Blood pH,13,7.366,0.021,13,7.366999999999999,0.027,,Hyperventilation,hyperventilation,resting blood ph,1,,TRUE,-0.04003697490534597,0.15388216163877533,-0.04003697490534597,0.15388216163877533,-0.04003697490534597,0.15388216163877533,IG_Dispersion and CG_Dispersion treated as SD
Sakamoto2015,,6,Peak Torque 60/s,15,237.1,56.8,15,234,58.4,,Hyperventilation,hyperventilation,peak torque 60/s,1,hyperventilation_power,TRUE,0.05235761623357982,0.13338553463073718,0.05235761623357982,0.13338553463073718,0.05235761623357982,0.13338553463073718,IG_Dispersion and CG_Dispersion treated as SD
Stavrou2015,,7,HR After 50m,14,176,10,14,170,13,,Hypoventilation,hypoventilation,hr after 50m,-1,,TRUE,0.5022635358143039,0.1480568860519317,0.5022635358143039,0.1480568860519317,-0.5022635358143039,0.1480568860519317,IG_Dispersion and CG_Dispersion treated as SD
Hakked2017,,8,MVV,14,115.45,31.439999999999998,13,97.64999999999999,20.37,,Yoga/Pranayama,pranayama_yogic,mvv,1,,TRUE,0.6463007639274853,0.15733140160722706,0.6463007639274853,0.15733140160722706,0.6463007639274853,0.15733140160722706,IG_Dispersion and CG_Dispersion treated as SD
Hakked2017,,9,FVC,14,3.14,1.03,13,2.3899999999999997,0.75,,Yoga/Pranayama,pranayama_yogic,fvc,1,,TRUE,0.8022802451361294,0.16218881788274686,0.8022802451361294,0.16218881788274686,0.8022802451361294,0.16218881788274686,IG_Dispersion and CG_Dispersion treated as SD
Hakked2017,,10,Total Strokes per Breath,14,3.54,0.88,13,3.08,0.8600000000000001,,Yoga/Pranayama,pranayama_yogic,total strokes per breath,1,,TRUE,0.5124167957047715,0.1539963602080865,0.5124167957047715,0.1539963602080865,0.5124167957047715,0.1539963602080865,IG_Dispersion and CG_Dispersion treated as SD
Sakamoto2018,,11,Resting Blood pH,17,7.471000000000001,0.037,17,7.4030000000000005,0.014,,Hyperventilation,hyperventilation,resting blood ph,1,,TRUE,2.373399405049093,0.21073569247441315,2.373399405049093,0.21073569247441315,2.373399405049093,0.21073569247441315,IG_Dispersion and CG_Dispersion treated as SD
Sakamoto2018,,12,PCO2,17,31.1,3.6,17,38.3,2.6,,Hyperventilation,hyperventilation,pco2,1,,TRUE,-2.2387114914297825,0.20047011549059907,-2.2387114914297825,0.20047011549059907,-2.2387114914297825,0.20047011549059907,IG_Dispersion and CG_Dispersion treated as SD
Citherlet2021,,14,Peak Power,15,501.3,115.6,15,501.9,104.5,,Wim Hof,hyperventilation,peak power,1,hyperventilation_power,TRUE,-0.005297758568410423,0.13333386778186854,-0.005297758568410423,0.13333386778186854,-0.005297758568410423,0.13333386778186854,IG_Dispersion and CG_Dispersion treated as SD
