paper_id,outcome_index,outcome_metric,reason
Braham2024,2,repeated-sprint ability (RSA),missing_or_invalid_group_n_mean_or_sd
Tomita2026,1,state anxiety scores (ASTAI state),missing_or_invalid_group_n_mean_or_sd
Tomita2026,2,coefficient of variation (CV) of the heart rate,missing_or_invalid_group_n_mean_or_sd
Tomita2026,3,mean power output,missing_or_invalid_group_n_mean_or_sd
Tomita2026,4,fatigue index,missing_or_invalid_group_n_mean_or_sd
Tomita2026,5,postexercise blood lactate concentration,missing_or_invalid_group_n_mean_or_sd
Tomita2026,6,peak heart rate,missing_or_invalid_group_n_mean_or_sd
Tomita2026,7,time to reach peak heart rate,missing_or_invalid_group_n_mean_or_sd
Tomita2026,8,peak VO2,missing_or_invalid_group_n_mean_or_sd
Tomita2026,9,time to peak VO2,missing_or_invalid_group_n_mean_or_sd
"Fernández FA, Rodríguez-Zamora L and Schagatay E (2019)",1,SaO2,missing_or_invalid_group_n_mean_or_sd
"Fernández FA, Rodríguez-Zamora L and Schagatay E (2019)",2,heart rate (HR),missing_or_invalid_group_n_mean_or_sd
"DeAsís-Fernández, F.; Reina-Varona, Á.; Papotsidakis, E.; Lafuente, J.; Fierro-Marrero, J. Effects of Hook Maneuver on Oxygen Saturation Recovery After –40 m Apnea Dive-A Randomized Crossover Trial. Sports 2025, 13, 24. https://doi.org/10.3390/ sports13010024",1,oxygen saturation recovery,missing_or_invalid_group_n_mean_or_sd
Deniz2025,1,total number of sets completed,missing_or_invalid_group_n_mean_or_sd
Deniz2025,2,total volume lifted (kg),missing_or_invalid_group_n_mean_or_sd
Deniz2025,3,"heart rate variability (HRV) parameters-standard deviation of normal-to-normal intervals (SDNN), root mean square of successive differences (RMSSD), percentage of NN intervals differing by >50 ms (pNN50), low-frequency power (LF), high-frequency power (HF), and LF/HF ratio- and heart rate",missing_or_invalid_group_n_mean_or_sd
Deniz2025,4,Blood pressure,missing_or_invalid_group_n_mean_or_sd
Deniz2025,5,Rating of Perceived Exertion (RPE),missing_or_invalid_group_n_mean_or_sd
"Taylor L. Buchanan”, Christopher M. Janelle",1,reaction time,missing_or_invalid_group_n_mean_or_sd
"Taylor L. Buchanan”, Christopher M. Janelle",2,movement time,missing_or_invalid_group_n_mean_or_sd
"Taylor L. Buchanan”, Christopher M. Janelle",3,arousal,missing_or_invalid_group_n_mean_or_sd
"Taylor L. Buchanan”, Christopher M. Janelle",4,hindrance,missing_or_invalid_group_n_mean_or_sd
"Taylor L. Buchanan”, Christopher M. Janelle",5,dyspnea,missing_or_invalid_group_n_mean_or_sd
Woorons2024,1,MPOmean(5-8) (W),missing_or_invalid_group_n_mean_or_sd
Woorons2024,2,MPOmean(1-8) (% MPOref),missing_or_invalid_group_n_mean_or_sd
Woorons2024,3,MPOmean(5-8) (% MPOref),missing_or_invalid_group_n_mean_or_sd
Woorons2024,4,Sdec (%),missing_or_invalid_group_n_mean_or_sd
Woorons2024,5,RPE,missing_or_invalid_group_n_mean_or_sd
Citherlet2021,1,RAST peak power,missing_or_invalid_group_n_mean_or_sd
Citherlet2021,2,average power,missing_or_invalid_group_n_mean_or_sd
Citherlet2021,3,fatigue index,missing_or_invalid_group_n_mean_or_sd
Hakked2017,1,maximal voluntary ventilation,missing_or_invalid_group_n_mean_or_sd
Hakked2017,2,forced vital capacity,missing_or_invalid_group_n_mean_or_sd
Hakked2017,3,number of strokes per breath,missing_or_invalid_group_n_mean_or_sd
Stavrou2015,1,Performance time of 50 and 400 m at maximum intensity,missing_or_invalid_group_n_mean_or_sd
Stavrou2015,2,forced expired volume in 1 s (FEV1),missing_or_invalid_group_n_mean_or_sd
Stavrou2015,3,forced vital capacity (FVC),missing_or_invalid_group_n_mean_or_sd
Stavrou2015,4,peak expiratory flow (PEF),missing_or_invalid_group_n_mean_or_sd
Stavrou2015,5,SpO2,missing_or_invalid_group_n_mean_or_sd
Sikora2024,1,VC,missing_or_invalid_group_n_mean_or_sd
Sikora2024,2,FVC,missing_or_invalid_group_n_mean_or_sd
Sikora2024,3,FEV1,missing_or_invalid_group_n_mean_or_sd
Sikora2024,4,DLCO mL/min/mmHg,missing_or_invalid_group_n_mean_or_sd
Sikora2024,5,IC,missing_or_invalid_group_n_mean_or_sd
Sikora2024,6,ERV,missing_or_invalid_group_n_mean_or_sd
Sikora2024,7,ERV%PRED,missing_or_invalid_group_n_mean_or_sd
Sikora2024,8,PEF,missing_or_invalid_group_n_mean_or_sd
Sikora2024,9,PIF,missing_or_invalid_group_n_mean_or_sd
Sikora2024,10,TLC,missing_or_invalid_group_n_mean_or_sd
Sikora2024,11,RV/TLC,missing_or_invalid_group_n_mean_or_sd
Sikora2024,12,VA,missing_or_invalid_group_n_mean_or_sd
Marko2022,1,BF,missing_or_invalid_group_n_mean_or_sd
Marko2022,2,VT,missing_or_invalid_group_n_mean_or_sd
Marko2022,3,VĒ,missing_or_invalid_group_n_mean_or_sd
Marko2022,4,,missing_or_invalid_group_n_mean_or_sd
Marko2022,5,,missing_or_invalid_group_n_mean_or_sd
Marko2022,6,,missing_or_invalid_group_n_mean_or_sd
Marko2022,7,,missing_or_invalid_group_n_mean_or_sd
Marko2022,8,,missing_or_invalid_group_n_mean_or_sd
Marko2022,9,,missing_or_invalid_group_n_mean_or_sd
Marko2022,10,,missing_or_invalid_group_n_mean_or_sd
Marko2022,11,,missing_or_invalid_group_n_mean_or_sd
Marko2022,12,,missing_or_invalid_group_n_mean_or_sd
Marko2022,13,,missing_or_invalid_group_n_mean_or_sd
Marko2022,14,,missing_or_invalid_group_n_mean_or_sd
Marko2022,15,,missing_or_invalid_group_n_mean_or_sd
Merlin2024,1,Subjective Training Performance,missing_or_invalid_group_n_mean_or_sd
Malakhov2014,1,amplitude and the velocity of postural sway,missing_or_invalid_group_n_mean_or_sd
Malakhov2014,2,frequency characteristics of the center of pressure (CP) oscillations,missing_or_invalid_group_n_mean_or_sd
Malakhov2014,3,amplitude and the frequency of respiratory movements,missing_or_invalid_group_n_mean_or_sd
Iskra2026,1,RMSSD,missing_or_invalid_group_n_mean_or_sd
Iskra2026,2,PEP,missing_or_invalid_group_n_mean_or_sd
Iskra2026,3,heart period,missing_or_invalid_group_n_mean_or_sd
Iskra2026,4,breathing discomfort,missing_or_invalid_group_n_mean_or_sd
Iskra2026,5,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,6,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,7,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,8,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,9,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,10,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,11,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,12,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,13,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,14,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,15,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,16,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,17,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,18,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,19,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,20,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,21,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,22,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,23,,missing_or_invalid_group_n_mean_or_sd
Iskra2026,24,,missing_or_invalid_group_n_mean_or_sd
