document_id,document_name,paper_id,adverse_events,adherence_rate,dropout_rate,feasibility_score,view_link,adherence_prop,dropout_prop,n_total_num,bt_category
1942af2be7703945_c09085e022a4fd26,Chiron2026.pdf,Chiron2026,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=1942af2be7703945_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,22,paced_breathing
7b1ac0d72f2508b3_c09085e022a4fd26,Sakamoto2014.pdf,Sakamoto2014,"none of the subjects reporting apparent signs of reduced cerebral blood flow such as dizziness, lightheadedness, or paresthesia during the test",,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=7b1ac0d72f2508b3_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,13,hyperventilation
d48ce1882771126e_c09085e022a4fd26,Stavrou2015.pdf,Stavrou2015,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=d48ce1882771126e_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,28,breath_holding
bf01c8ea811658ab_c09085e022a4fd26,Fernandez2025.pdf,Fernandez2025,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=bf01c8ea811658ab_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,13,hook_breathing
8aed18aed71d1e73_c09085e022a4fd26,Yilmaz2025.pdf,Yilmaz2025,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=8aed18aed71d1e73_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,17,hyperventilation
94070436ce60a616_c09085e022a4fd26,Citherlet2021.pdf,Citherlet2021,"Negative effects of tingling, numbness, dizziness, and heaviness were reported by 60% of the participants for the HV condition. Negative effects of heaviness and deafness were reported by 33% of participants for the WHBM.",,1 participant was excluded because of a muscular injury,47% of the participants asserted to use the WHBM in the future while 53% did not.,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=94070436ce60a616_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,1,15,hyperventilation
baeafcea2155d36b_c09085e022a4fd26,Deniz2025.pdf,Deniz2025,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=baeafcea2155d36b_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,12,breath_holding
2fae7b981093ff39_c09085e022a4fd26,bahensky2021.pdf,bahensky2021,,13.3 ± 2.8 min per day,One participant did not complete the intervention for medical rea- sons unrelated to the intervention and was excluded from the study.,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=2fae7b981093ff39_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,0.133,,,
5a695e112160eec2_c09085e022a4fd26,Vaidya2021.pdf,Vaidya2021,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=5a695e112160eec2_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,60,pranayama_yogic
acd7a82153eb8d17_c09085e022a4fd26,Spiering2004.pdf,Spiering2004,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=acd7a82153eb8d17_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,78,hyperventilation
bc7bacb9af8a183b_c09085e022a4fd26,Kasap2025.pdf,Kasap2025,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=bc7bacb9af8a183b_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,40,paced_breathing
bd02599e5a7211d_c09085e022a4fd26,Sakamoto2018.pdf,Sakamoto2018,severe paresthesia or dizziness,,4,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=bd02599e5a7211d_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,0.04,17,hyperventilation
d55fbc4accbd53c8_c09085e022a4fd26,Raidl2026.pdf,Raidl2026,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=d55fbc4accbd53c8_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,34,paced_breathing
80a524583777d232_c09085e022a4fd26,Merlin2024.pdf,Merlin2024,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=80a524583777d232_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,13,paced_breathing
5a6fe464b9f00272_c09085e022a4fd26,Katz2026.pdf,Katz2026,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=5a6fe464b9f00272_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,40,diaphragmatic
55af67c00adcc959_c09085e022a4fd26,Hakked2017.pdf,Hakked2017,,100%,3,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=55af67c00adcc959_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,1,0.03,27,breath_holding
aa1029e2f806803b_c09085e022a4fd26,Devipriya2026.pdf,Devipriya2026,,,15%,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=aa1029e2f806803b_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,0.15,60,pranayama_yogic
aab04d8f26296f7c_c09085e022a4fd26,Durand2004.pdf,Durand2004,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=aab04d8f26296f7c_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,22,
5fb8d8a052e780fc_c09085e022a4fd26,FernandezBarradas2026.pdf,"Fernández-Barradas EY, Reynoso- Sánchez LF, Herrera-Meza S, López- Walle JM and Martínez-Moreno AG (2026)",,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=5fb8d8a052e780fc_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,,
7337c4e1e02e5449_c09085e022a4fd26,You2023.pdf,You2023,,,3.8%,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=7337c4e1e02e5449_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,0.038,75,paced_breathing
4525cf2c95849e55_c09085e022a4fd26,Sakamoto2015.pdf,Sakamoto2015,None of the subjects complained of any major adverse effects such as paresthesia or dizziness with the hyperventilation method.,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=4525cf2c95849e55_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,15,hyperventilation
de24f7b584d356eb_c09085e022a4fd26,Fernandez2019.pdf,Fernandez2019,pulmonary edema may compromise recovery and has led to one lethal outcome in competition.,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=de24f7b584d356eb_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,22,hook_breathing
3f2a63f0233014f2_c09085e022a4fd26,Taylor2021.pdf,Taylor L. Buchanan; Christopher M. Janelle,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=3f2a63f0233014f2_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,,
7496512d652df743_c09085e022a4fd26,Sikora2024.pdf,Sikora2024,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=7496512d652df743_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,113,diaphragmatic
51914be4d122c289_c09085e022a4fd26,Li2024.pdf,Li2024,,,5,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=51914be4d122c289_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,0.05,22,paced_breathing
c0b05ce4631340d_c09085e022a4fd26,Lindholm2005.pdf,Lindholm2005,"GI may cause orthostatic syncope as a consequence of reduced venous return. Apnea for too long a period following GE may lead to syncope from hypoxemia, due to the reduction in pulmonary oxygen stores. Furthermore, the medical risks associated with these maneuvers are not yet known in detail.",,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=c0b05ce4631340d_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,5,other_unclear
3bf8d004fbaa24e0_c09085e022a4fd26,Fox2025.pdf,Fox2025,1,94.32% for the biometric capture device (sleep and physiological metrics); 89% for the baseline surveys; 64.71% for the daily intervention and survey; 58.42% to 62.16% for the intervention executive function Stroop Task and N-back Task,"Attrition rates for the T2 off-boarding survey were WHM=24, WHM-Remote = 32, and MC=46.",,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=3bf8d004fbaa24e0_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,0.9431999999999999,,404,hyperventilation
dcf70757c1702723_c09085e022a4fd26,Marko2022.pdf,Marko2022,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=dcf70757c1702723_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,19,hyperventilation
e21545fda3ba110a_c09085e022a4fd26,Malakhov2014.pdf,Malakhov2014,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=e21545fda3ba110a_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,66,hyperventilation
6bd77bd198f8695d_c09085e022a4fd26,Braham2024.pdf,Braham2024,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=6bd77bd198f8695d_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,24,hypoventilation
8ec6915b23a38473_c09085e022a4fd26,Tomita2026.pdf,Tomita2026,All 26 participants completed the intervention and HIIT protocols without adverse events.,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=8ec6915b23a38473_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,26,other_unclear
d3bef6d31116c807_c09085e022a4fd26,Fesseler2025.pdf,Fesseler2025,,,,"Mean: 0.86, SD: 1.50, Median: 1.00, IQR: 2.00",https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=d3bef6d31116c807_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,36,hyperventilation
f2157023e49da642_c09085e022a4fd26,Iskra2026.pdf,Iskra2026,"undesirable effects such as dizziness, panic, and agitation",,,Moderate discomfort levels reported during FPB55 suggest that participants found breathing exercises feasible to perform.,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=f2157023e49da642_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,38,hyperventilation
b862e1fe718db4a8_c09085e022a4fd26,Woorons2024.pdf,Woorons2024,,,,,https://journaliststudio.google.com/pinpoint/document-view?collection=c09085e022a4fd26&docid=b862e1fe718db4a8_c09085e022a4fd26&tid=af8647007b4e0b48&utm_source=extract_data_deep_link,,,20,hypoventilation
