Paper_ID,Year,First_Author,Design,Country,Journal,Title_Short
Durand2000.pdf,2000,Durand,Observational,France,Med. Sci. Sports Exerc.,Evidence for an inadequate hyperventilation inducing arterial hypoxemia
Spiering2004.pdf,2004,Spiering,Observational,USA,Journal of Asthma,An Evaluation of Standardizing Target Ventilation
Lindholm2005.pdf,2005,Lindholm,Observational,Sweden,Eur J Appl Physiol,Studies on inspiratory and expiratory glossopharyngeal breathing
Woorons2008.pdf,2008,Woorons,RCT,France,Respir Physiol Neurobiol,Effects of a 4-week training with voluntary hypoventilation
Sakamoto2014.pdf,2014,Sakamoto,Crossover,Japan,J Strength Cond Res,Hyperventilation as a strategy for improved repeated sprint performance
Guimard2014.pdf,2014,Guimard,Crossover,France,J Strength Cond Res,Acute apnea swimming: Metabolic responses and performance
Malakhov2014.pdf,2014,Malakhov,Crossover,Russia,Asian J Sports Med.,The Influence of Different Modes of Ventilation on Standing Balance of Athletes
Jacob2015.pdf,2015,Jacob,Crossover,,Science & Sports,Pre-exercise hyperventilation can significantly increase performance
Sakamoto2015.pdf,2015,Sakamoto,Crossover,Japan,Eur J Appl Physiol,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue
Stavrou2015.pdf,2015,Stavrou,RCT,Greece,J Hum Kinet,Yogic breathing practices improve lung functions of competitive young swimmers
Fujii2015.pdf,2015,Fujii,Crossover,Japan,Eur J Appl Physiol,Effect of voluntary hypocapnic hyperventilation on the metabolic response
Woorons2016.pdf,2016,Woorons,RCT,France,Med Sci Sports Exerc,Hypoventilation Training at Supramaximal Intensity Improves Swimming Performance
Hakked2017.pdf,2017,Hakked,RCT,India,J Ayurveda Integr Med,Yogic breathing practices improve lung functions of competitive young swimmers
Kacoglu2017.pdf,2017,Kacoglu,Crossover,Turkey,Eur J Hum Mov,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance
Pelka2017.pdf,2017,Pelka,Crossover,Germany,J Sports Sci,Acute effects of psychological relaxation techniques
Trincat2017.pdf,2017,Trincat,RCT,Switzerland,Int J Sports Physiol Perform,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming
Burtch2017.pdf,2017,Burtch,RCT,USA,J Strength Cond Res,Evidence of global respiratory muscle fatigue from a 2-minute swim race
Woorons2017.pdf,2017,Woorons,Crossover,France,Eur J Appl Physiol,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation
FornasierSantos2018.pdf,2018,Fornasier-Santos,RCT,France,Eur J Sport Sci,Repeated-sprint training in hypoxia induced by voluntary hypoventilation
Gray2018.pdf,2018,Gray,Crossover,,J Swimming Research,Effects of deep-breathing protocols on swimming performance
Lim2018.pdf,2018,Lim,Crossover,Canada,Eur J Appl Physiol,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise
Sakamoto2018.pdf,2018,Sakamoto,Crossover,Japan,J Strength Cond Res,Effects of hyperventilation on repeated pedaling sprint performance
Fernandez2019.pdf,2019,Fernandez,Observational,Spain,Front Physiol,SaO2 Recovery in Freedivers
Laborde2019.pdf,2019,Laborde,Crossover,Germany,Front Psychol,Influence of slow-paced breathing on inhibition after physical exertion
Woorons2019.pdf,2019,Woorons,Crossover,France,Int J Sports Med,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation
Woorons2019b.pdf,2019,Woorons,RCT,France,Eur J Appl Physiol,Physiological adaptations to repeated sprint training in hypoxia
Bouten2020.pdf,2020,Bouten,Crossover,Belgium,Med Sci Sports Exerc,Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance
Lapointe2020.pdf,2020,Lapointe,RCT,Canada,Front Sports Act Living,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability
Robertson2020.pdf,2020,Robertson,Crossover,UK,J Strength Cond Res,Effects of pre-race apneas on 400-m freestyle swimming performance
Sakamoto2020.pdf,2020,Sakamoto,Crossover,Japan,J Strength Cond Res,Hyperventilation-aided recovery for extra repetitions on bench press and leg press
Woorons2020.pdf,2020,Woorons,RCT,France,Int J Sports Physiol Perform,Transferable benefits of cycle hypoventilation training
Bahensky2021.pdf,2021,Bahensky,RCT,Czech Republic,J. Clin. Med.,Impact of a Breathing Intervention on Engagement
Citherlet2021.pdf,2021,Citherlet,Crossover,Switzerland,Frontiers in Sports and Active Living,Wim Hof breathing method
Dobashi2021.pdf,2021,Dobashi,Crossover,Japan,Eur J Sport Sci,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism
Grossman2021.pdf,2021,Grossman,Crossover,Canada,Front Physiol,Breath holding during heavy-intensity Fartlek exercise
Taylor2021.pdf,2021,Buchanan,Crossover,USA,Human Movement Science,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse
Vaidya2021.pdf,2021,Vaidya,RCT,India,Int J Yoga Therapy,Effect of Yoga on Performance and Physical Fitness in Cricket Bowlers
Brocherie2022.pdf,2022,Brocherie,RCT,France,Int J Sports Sci Coach,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation
Conlon2022.pdf,2022,Conlon,RCT,UK,,The effects of breathing techniques on pressurized performance and stress-responses
Marko2022.pdf,2022,Marko,Before-after,Czech Republic,J. Clin. Med.,Does Wim Hof Method Improve Breathing Economy during Exercise?
You2023.pdf,2023,You,Crossover,France,Applied Psychophysiology and Biofeedback,Single slow-paced Breathing Session at six cycles per minute
Braham2024.pdf,2024,Braham,RCT,France,Int J Sports Physiol Perform,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation
Buxton2024.pdf,2024,Buxton,Crossover,USA,J Hum Kinet,The Effects of Slow Breathing during Inter-Set Recovery on Power Performance in the Barbell Back Squat
