paper_id,row_type,efficacy_source,year,first_author,design,country,journal,title_short,sport,sport_category,athlete_level,n_total,age_mean,age_sd,sex_male_pct,bt_classification,comparator,arm_structure,outcome_domain,outcome_metric,timepoint,lower_is_better,ig_n,ig_mean,ig_sd,cg_n,cg_mean,cg_sd,dispersion_note,complete_for_smd,n_allocated_ig,n_allocated_cg,dropout_n_ig,dropout_n_cg,adherence_rate_ig,adherence_rate_cg,completion_note,feasibility_source_quote,any_ae_reported,overall_ae_n,overall_ae_total,serious_ae_n,ae_description,safety_source_quote,any_ae_n_ig,any_ae_total_ig,any_ae_n_cg,any_ae_total_cg,ae_type,ae_n_ig,ae_n_cg,arm_safety_source_quote,source_row,intervention_bt_classification,intervention_breathing_category,intervention_comparator,intervention_arm_structure,intervention_timing,intervention_total_duration,publication_year_num,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,n_allocated_ig_num,n_allocated_cg_num,dropout_n_ig_num,dropout_n_cg_num,adherence_ig_prop,adherence_cg_prop,bt_category,design_group,dose_duration_days_num,male_n,female_n,outcome_index
Durand2000,metadata_only,none,2000,Durand,Observational,France,Med. Sci. Sports Exerc.,Evidence for an inadequate hyperventilation inducing arterial hypoxemia,"Cycling, Triathlon, Running",endurance,elite,22,23.9,1.3,100,hypoventilation,athletes without EIH,observational,,,,,,,,,,,,False,12,10,,,,,,,unclear,,,,,,,,,,,,,,1,hypoventilation,hypoventilation,athletes without EIH,observational,during exercise,,2000,22,23.9,1.3,1,,,,,,,12,10,,,,,hypoventilation,single_group_or_observational,,22,0,1
Spiering2004,metadata_only,none,2004,Spiering,Observational,USA,Journal of Asthma,An Evaluation of Standardizing Target Ventilation,Winter sports,winter sports,elite,78,,,32,voluntary hyperventilation,baseline,observational,,,,,,,,,,,,False,78,,,,,,,,unclear,,,,,,,,,,,,,,2,voluntary hyperventilation,hyperventilation,baseline,observational,baseline/testing,6 min,2004,78,,,0.32,,,,,,,78,,,,,,hyperventilation,single_group_or_observational,0.004166666666666667,24.96,53.03999999999999,2
Lindholm2005,efficacy_outcome,primary,2005,Lindholm,Observational,Sweden,Eur J Appl Physiol,Studies on inspiratory and expiratory glossopharyngeal breathing,Breath-hold diving,freediving,competitive,5,,,,glossopharyngeal breathing,baseline,observational,Physiological,VC,Post-test,FALSE,5,9.7,,5,7.8,,No dispersion reported,False,5,,,,,,,,unclear,,,,,,,,,,,,,,3,glossopharyngeal breathing,glossopharyngeal,baseline,observational,baseline/testing,,2005,5,,,,5,9.7,,5,7.8,,5,,,,,,other_unclear,single_group_or_observational,,,,3
Woorons2008,efficacy_outcome,primary,2008,Woorons,RCT,France,Respir Physiol Neurobiol,Effects of a 4-week training with voluntary hypoventilation,Running,running,competitive,16,27.1,6.0,,hypoventilation,normal breathing,parallel,Physiological,VO2max,Post-test,FALSE,8,43.7,,8,45.8,,SE,False,8,8,,,,,,,unclear,,,,,,,,,,,,,,4,hypoventilation,hypoventilation,normal breathing,parallel,training intervention,4 weeks,2008,16,27.1,6,,8,43.7,,8,45.8,,8,8,,,,,hypoventilation,parallel_or_controlled_trial,28,,,4
Guimard2014,metadata_only,none,2014,Guimard,Crossover,France,J Strength Cond Res,Acute apnea swimming: Metabolic responses and performance,Swimming,swimming,competitive,15,21.9,0.9,100,breath holding/apnea,normal breathing,crossover,,,,,,,,,,,,False,15,15,,,,,,,unclear,,,,,,,,,,,,,,6,breath holding,breath holding/apnea,normal breathing,crossover,during exercise,,2014,15,21.9,0.9,1,,,,,,,15,15,,,,,breath_holding,crossover,,15,0,6
Malakhov2014,efficacy_outcome,additional,2014,Malakhov,Crossover,Russia,Asian J Sports Med.,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,"Field athletics, team sports",mixed/various sports,competitive,66,19.8,1.0,44,hyperventilation,quiet breath,crossover,performance,S (mm2),post-exercise,TRUE,38,386.7,245.6,38,76.22,34.15,,True,38,28,,,,,,,unclear,,,,,,,,,,,,,,7,hyperventilation,hyperventilation,quiet breath,crossover,baseline/testing,,2014,66,19.8,1,0.44,38,386.7,245.6,38,76.22,34.15,38,28,,,,,hyperventilation,crossover,,29.04,36.96,7
Sakamoto2014,metadata_only,none,2014,Sakamoto,Crossover,Japan,J Strength Cond Res,Hyperventilation as a strategy for improved repeated sprint performance,Cycling,cycling,competitive,15,,,,hyperventilation,control,crossover,,,,,,,,,,,,False,15,15,,,,,,,unclear,,,,,,,,,,,,,,5,hyperventilation,hyperventilation,control,crossover,acute pre-exercise,,2014,15,,,,,,,,,,15,15,,,,,hyperventilation,crossover,,,,5
Fujii2015,metadata_only,none,2015,Fujii,Crossover,Japan,Eur J Appl Physiol,Effect of voluntary hypocapnic hyperventilation on the metabolic response,Cycling,cycling,unclear,11,,,,voluntary hyperventilation,control,crossover,,,,,,,,,,,,False,11,11,,,,,,,unclear,,,,,,,,,,,,,,13,voluntary hyperventilation,hyperventilation,control,crossover,acute pre-exercise,,2015,11,,,,,,,,,,11,11,,,,,hyperventilation,crossover,,,,13
Jacob2015,metadata_only,none,2015,Jacob,Crossover,,Science & Sports,Pre-exercise hyperventilation can significantly increase performance,Swimming,swimming,competitive,14,,,,voluntary hyperventilation,normal breathing,crossover,,,,,,,,,,,,False,14,14,,,,,,,unclear,,,,,,,,,,,,,,9,voluntary hyperventilation,hyperventilation,normal breathing,crossover,acute pre-exercise,,2015,14,,,,,,,,,,14,14,,,,,hyperventilation,crossover,,,,9
Sakamoto2015,efficacy_outcome,primary,2015,Sakamoto,Crossover,Japan,Eur J Appl Physiol,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Resistance training,resistance/strength,competitive,15,21.2,3.7,73,hyperventilation,control,crossover,Performance,Peak Torque 60/s (Nm),Pre-exercise,FALSE,15,237.1,56.8,15,234.0,58.4,,True,15,15,,,,,,,unclear,,,,,,,,,,,,,,10,hyperventilation,hyperventilation,control,crossover,acute pre-exercise,,2015,15,21.2,3.7,0.73,15,237.1,56.8,15,234,58.4,15,15,,,,,hyperventilation,crossover,,10.95,4.050000000000001,10
Stavrou2015,efficacy_outcome,additional,2015,Stavrou,RCT,Greece,J Hum Kinet,Yogic breathing practices improve lung functions of competitive young swimmers,Fin-swimming,swimming,competitive,28,,,50,intermittent breath holding,self-selected breathing frequency,parallel,physiological,FVC,post-training,FALSE,14,4.3,0.7,14,2.9,0.5,,True,14,14,0,0,,,,,unclear,,,,,,,,,,,,,,11,intermittent breath holding,breath holding/apnea,self-selected breathing,parallel,training intervention,16 weeks,2015,28,,,0.5,14,4.3,0.7,14,2.9,0.5,14,14,0,0,,,breath_holding,parallel_or_controlled_trial,112,14,14,11
Woorons2016,metadata_only,none,2016,Woorons,RCT,France,Med Sci Sports Exerc,Hypoventilation Training at Supramaximal Intensity Improves Swimming Performance,Swimming,swimming,competitive,16,,,75,hypoventilation (VHL),normal breathing (CONT),parallel,,,,,,,,,,,,False,8,8,0,1,,,One dropout in CONT due to inability to breathe through snorkel.,,unclear,,,,,,,,,,,,,,14,hypoventilation (VHL),hypoventilation,normal breathing,parallel,training intervention,5 weeks,2016,16,,,0.75,,,,,,,8,8,0,1,,,hypoventilation,parallel_or_controlled_trial,35,12,4,14
Burtch2017,efficacy_outcome,additional,2017,Burtch,RCT,USA,J Strength Cond Res,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Swimming,swimming,competitive,25,,,,controlled frequency breathing (CFB),stroke matched control,parallel,physiological,VO2max,post-training,FALSE,13,53,5,12,53,6,,True,13,12,,,,,5 total dropouts.,"because of travel, illness, and failure to comply with required number of training sessions, only 20 subjects completed the final testing session.",yes,,25,,illness,"because of travel, illness, and failure to comply with required number of training sessions, only 20 subjects completed",,,,,,,,,19,controlled frequency breathing,paced breathing,matched control,parallel,training intervention,,2017,25,,,,13,53,5,12,53,6,13,12,,,,,paced_breathing,parallel_or_controlled_trial,,,,19
Hakked2017,efficacy_outcome,primary,2017,Hakked,RCT,India,J Ayurveda Integr Med,Yogic breathing practices improve lung functions of competitive young swimmers,Swimming,swimming,competitive,30,,,,pranayama/yogic breathing,usual training,parallel,Physiological,Maximum Voluntary Ventilation (MVV),Post (30 days),FALSE,14,3.54,0.88,13,3.08,0.86,,True,15,15,1,2,100,100,,,unclear,,,,,,,,,,,,,,15,pranayama/yogic breathing,yoga/pranayama,wait-list control,parallel,training intervention,30 days,2017,30,,,,14,3.54,0.88,13,3.08,0.86,15,15,1,2,1,1,pranayama_yogic,parallel_or_controlled_trial,30,,,15
Kacoglu2017,efficacy_outcome,primary,2017,Kacoglu,Crossover,Turkey,Eur J Hum Mov,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Jumping and sprinting,running,healthy active,14,,,,hyperventilation,normal ventilation,crossover,Performance,10-m sprint time (s),Post-exercise,TRUE,14,1.94,0.11,14,1.92,0.11,,True,14,14,,,,,,,unclear,,,,,,,,,,,,,,16,hyperventilation,hyperventilation,normal ventilation,crossover,acute pre-exercise,,2017,14,,,,14,1.94,0.11,14,1.92,0.11,14,14,,,,,hyperventilation,crossover,,,,16
Pelka2017,metadata_only,none,2017,Pelka,Crossover,Germany,J Sports Sci,Acute effects of psychological relaxation techniques,Sprinting,running,competitive,27,25.22,1.08,70,slow-paced breathing,control,crossover,,,,,,,,,,,,False,30,30,,,,,3 dropouts occurred during habituation.,Dropouts occurred during habituation (3 out of 30). 27 analysed.,unclear,,,,,,,,,,,,,,17,slow-paced breathing,paced breathing,control,crossover,post-exercise/recovery,,2017,27,25.22,1.08,0.7,,,,,,,30,30,,,,,paced_breathing,crossover,,18.9,8.100000000000001,17
Trincat2017,efficacy_outcome,primary,2017,Trincat,RCT,Switzerland,Int J Sports Physiol Perform,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming,Swimming,swimming,competitive,16,15.55,1.8,56,hypoventilation,normal breathing,parallel,Physiological,Time at SpO2 <= 88% (s),During test,TRUE,8,34,0.7,8,0,0,,False,8,8,,,,,,,unclear,,,,,,,,,,,,,,18,hypoventilation,hypoventilation,normal breathing,parallel,training intervention,2 weeks,2017,16,15.55,1.8,0.56,8,34,0.7,8,0,0,8,8,,,,,hypoventilation,parallel_or_controlled_trial,14,8.96,7.039999999999999,18
Woorons2017,efficacy_outcome,additional,2017,Woorons,Crossover,France,Eur J Appl Physiol,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Cycling,cycling,competitive,9,27.2,9.3,89,hypoventilation (RSH-VHL),normal breathing (RSN),crossover,physiological,Breathing frequency,during exercise,FALSE,9,44.5,5.8,9,58.4,17.0,,True,9,9,,,,,,,unclear,,,,,,,,,,,,,,21,hypoventilation (RSH-VHL),hypoventilation,normal breathing,crossover,during exercise,,2017,9,27.2,9.3,0.89,9,44.5,5.8,9,58.4,17,9,9,,,,,hypoventilation,crossover,,8.01,0.9899999999999999,21
FornasierSantos2018,efficacy_outcome,additional,2018,Fornasier-Santos,RCT,France,Eur J Sport Sci,Repeated-sprint training in hypoxia induced by voluntary hypoventilation,Rugby,team sports,competitive,35,,,100,hypoventilation (VHL),normal breathing (RSN),parallel,performance,RV,post-training,FALSE,11,7.07,0.3,10,7.13,0.37,,True,,,,,,,14 subjects did not complete.,14 subjects did not complete,yes,,35,,"Injuries during matches, illness","Injuries during matches, illness",,,,,,,,,23,hypoventilation (VHL),hypoventilation,normal breathing,parallel,training intervention,4 weeks,2018,35,,,1,11,7.07,0.3,10,7.13,0.37,,,,,,,hypoventilation,parallel_or_controlled_trial,28,35,0,23
Gray2018,efficacy_outcome,additional,2018,Gray,Crossover,,J Swimming Research,Effects of deep-breathing protocols on swimming performance,Swimming,swimming,competitive,7,,,0,slow-paced breathing (30s),no deep breathing,crossover,physiological,Blood lactate,post-exercise,TRUE,7,3.8,1.06,7,2.9,1.58,,True,7,7,,,,,,,unclear,,,,,,,,,,,,,,24,slow-paced breathing,paced breathing,no deep breathing,crossover,acute pre-exercise,,2018,7,,,0,7,3.8,1.06,7,2.9,1.58,7,7,,,,,paced_breathing,crossover,,0,7,24
