document_id,document_name,paper_id,bt_classification,dose_frequency,dose_duration,comparator_type,view_link,bt_category,dose_duration_days,dose_frequency_week,breathing_category,comparator_description,arm_structure,timing
,Evidence for an inadequate hyperventilation inducing arterial hypoxemia,Durand2000,hypoventilation,,,athletes without EIH,,hypoventilation,,,hypoventilation,athletes without EIH,observational,during exercise
,An Evaluation of Standardizing Target Ventilation,Spiering2004,voluntary hyperventilation,,6 min,baseline,,hyperventilation,0.004166666666666667,,hyperventilation,baseline,observational,baseline/testing
,Studies on inspiratory and expiratory glossopharyngeal breathing,Lindholm2005,glossopharyngeal breathing,,,baseline,,other_unclear,,,other_unclear,baseline,observational,baseline/testing
,Effects of a 4-week training with voluntary hypoventilation,Woorons2008,hypoventilation,,4 weeks,normal breathing,,hypoventilation,28,,hypoventilation,normal breathing,parallel,training intervention
,Acute apnea swimming: Metabolic responses and performance,Guimard2014,breath holding/apnea,,,normal breathing,,breath_holding,,,breath_holding,normal breathing,crossover,during exercise
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014,hyperventilation,,,quiet breath,,hyperventilation,,,hyperventilation,quiet breath,crossover,baseline/testing
,Hyperventilation as a strategy for improved repeated sprint performance,Sakamoto2014,hyperventilation,,,control,,hyperventilation,,,hyperventilation,control,crossover,acute pre-exercise
,Effect of voluntary hypocapnic hyperventilation on the metabolic response,Fujii2015,voluntary hyperventilation,,,control,,hyperventilation,,,hyperventilation,control,crossover,acute pre-exercise
,Pre-exercise hyperventilation can significantly increase performance,Jacob2015,voluntary hyperventilation,,,normal breathing,,hyperventilation,,,hyperventilation,normal breathing,crossover,acute pre-exercise
,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Sakamoto2015,hyperventilation,,,control,,hyperventilation,,,hyperventilation,control,crossover,acute pre-exercise
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015,intermittent breath holding,,16 weeks,self-selected breathing frequency,,breath_holding,112,,breath_holding,self-selected breathing frequency,parallel,training intervention
,Hypoventilation Training at Supramaximal Intensity Improves Swimming Performance,Woorons2016,hypoventilation (VHL),,5 weeks,normal breathing (CONT),,hypoventilation,35,,hypoventilation,normal breathing (CONT),parallel,training intervention
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017,controlled frequency breathing (CFB),,,stroke matched control,,paced_breathing,,,paced_breathing,stroke matched control,parallel,training intervention
,Yogic breathing practices improve lung functions of competitive young swimmers,Hakked2017,pranayama/yogic breathing,,30 days,usual training,,pranayama_yogic,30,,pranayama_yogic,usual training,parallel,training intervention
,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Kacoglu2017,hyperventilation,,,normal ventilation,,hyperventilation,,,hyperventilation,normal ventilation,crossover,acute pre-exercise
,Acute effects of psychological relaxation techniques,Pelka2017,slow-paced breathing,,,control,,paced_breathing,,,paced_breathing,control,crossover,post-exercise/recovery
,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming,Trincat2017,hypoventilation,,2 weeks,normal breathing,,hypoventilation,14,,hypoventilation,normal breathing,parallel,training intervention
,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Woorons2017,hypoventilation (RSH-VHL),,,normal breathing (RSN),,hypoventilation,,,hypoventilation,normal breathing (RSN),crossover,during exercise
,Repeated-sprint training in hypoxia induced by voluntary hypoventilation,FornasierSantos2018,hypoventilation (VHL),,4 weeks,normal breathing (RSN),,hypoventilation,28,,hypoventilation,normal breathing (RSN),parallel,training intervention
,Effects of deep-breathing protocols on swimming performance,Gray2018,slow-paced breathing (30s),,,no deep breathing,,paced_breathing,,,paced_breathing,no deep breathing,crossover,acute pre-exercise
,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Lim2018,breath holding (CONT-BH),,,free-breathing (CONT),,breath_holding,,,breath_holding,free-breathing (CONT),crossover,during exercise
,Effects of hyperventilation on repeated pedaling sprint performance,Sakamoto2018,hyperventilation short (HVshort),,,control,,hyperventilation,,,hyperventilation,control,crossover,acute pre-exercise
,SaO2 Recovery in Freedivers,Fernandez2019,breath holding,,,fast recovery,,breath_holding,,,breath_holding,fast recovery,observational,post-exercise/recovery
,Influence of slow-paced breathing on inhibition after physical exertion,Laborde2019,slow-paced breathing,,,watching TV documentary,,paced_breathing,,,paced_breathing,watching TV documentary,crossover,post-exercise/recovery
,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Woorons2019,hypoventilation,,,normal breathing,,hypoventilation,,,hypoventilation,normal breathing,crossover,during exercise
,Physiological adaptations to repeated sprint training in hypoxia,Woorons2019b,hypoventilation (RSH-VHL),,3 weeks,normal breathing (RSN),,hypoventilation,21,,hypoventilation,normal breathing (RSN),parallel,training intervention
,Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance,Bouten2020,breath holding/apnea,,,placebo/control,,breath_holding,,,breath_holding,placebo/control,crossover,acute pre-exercise
,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Lapointe2020,hypoventilation (VHL),,4 weeks,normal breathing (CTL),,hypoventilation,28,,hypoventilation,normal breathing (CTL),parallel,training intervention
,Effects of pre-race apneas on 400-m freestyle swimming performance,Robertson2020,pre-race apneas (WUAP),,,control (CON),,breath_holding,,,breath_holding,control (CON),crossover,acute pre-exercise
,Hyperventilation-aided recovery for extra repetitions on bench press and leg press,Sakamoto2020,hyperventilation,,,spontaneous breathing,,hyperventilation,,,hyperventilation,spontaneous breathing,crossover,post-exercise/recovery
,Transferable benefits of cycle hypoventilation training,Woorons2020,hypoventilation,,,normal breathing,,hypoventilation,,,hypoventilation,normal breathing,parallel,training intervention
,Impact of a Breathing Intervention on Engagement,Bahensky2021,yoga-based breathing,,8 weeks,normal training,,pranayama_yogic,56,,pranayama_yogic,normal training,parallel,training intervention
,Wim Hof breathing method,Citherlet2021,Wim Hof breathing method,,12 min,spontaneous breathing,,other_unclear,0.008333333333333333,,other_unclear,spontaneous breathing,crossover,acute pre-exercise
,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism,Dobashi2021,voluntary hyperventilation,,"5 min, 20 min",control,,hyperventilation,0.003472222222222222,,hyperventilation,control,crossover,acute pre-exercise
,Breath holding during heavy-intensity Fartlek exercise,Grossman2021,breath holding (CONLD-BH),,,free-breathing (CONLD),,breath_holding,,,breath_holding,free-breathing (CONLD),crossover,during exercise
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021,fast-paced breathing,,,slow-paced breathing,,paced_breathing,,,paced_breathing,slow-paced breathing,crossover,during exercise
,Effect of Yoga on Performance and Physical Fitness in Cricket Bowlers,Vaidya2021,yoga-based breathing,,,control,,pranayama_yogic,,,pranayama_yogic,control,parallel,training intervention
,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation,Brocherie2022,hypoventilation (VHL),,5 weeks,normal breathing (RSN),,hypoventilation,35,,hypoventilation,normal breathing (RSN),parallel,training intervention
