document_id,document_name,paper_id,outcome_metric,ig_n,ig_mean,ig_dispersion,view_link,outcome_index,ig_n_num,ig_mean_num,ig_sd_num,outcome_domain,timepoint,lower_is_better,dispersion_note,efficacy_source,complete_for_smd
,Studies on inspiratory and expiratory glossopharyngeal breathing,Lindholm2005,VC,5,9.7,,,3,5,9.7,,Physiological,Post-test,FALSE,No dispersion reported,primary,False
,Effects of a 4-week training with voluntary hypoventilation,Woorons2008,VO2max,8,43.7,,,4,8,43.7,,Physiological,Post-test,FALSE,SE,primary,False
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014,S (mm2),38,386.7,245.6,,7,38,386.7,245.6,performance,post-exercise,TRUE,,additional,True
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014,"Mean velocity of CP displacement (V, mm/s)",38,37.76,29.00,,8,38,37.76,29,Performance,Post-exercise,TRUE,,primary,True
,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Sakamoto2015,Peak Torque 60/s (Nm),15,237.1,56.8,,10,15,237.1,56.8,Performance,Pre-exercise,FALSE,,primary,True
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015,FVC,14,4.3,0.7,,11,14,4.3,0.7,physiological,post-training,FALSE,,additional,True
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015,FEV1,14,4.1,0.8,,12,14,4.1,0.8,Physiological,Post-training (16 weeks),FALSE,SD assumed,primary,True
,Yogic breathing practices improve lung functions of competitive young swimmers,Hakked2017,Maximum Voluntary Ventilation (MVV),14,3.54,0.88,,15,14,3.54,0.88,Physiological,Post (30 days),FALSE,,primary,True
,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Kacoglu2017,10-m sprint time (s),14,1.94,0.11,,16,14,1.94,0.11,Performance,Post-exercise,TRUE,,primary,True
,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming,Trincat2017,Time at SpO2 <= 88% (s),8,34,0.7,,18,8,34,0.7,Physiological,During test,TRUE,,primary,False
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017,VO2max,13,53,5,,19,13,53,5,physiological,post-training,FALSE,,additional,True
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017,200-yard time trial (s),13,114,7,,20,13,114,7,Performance,Post-training,TRUE,,primary,True
,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Woorons2017,Breathing frequency,9,44.5,5.8,,21,9,44.5,5.8,physiological,during exercise,FALSE,,additional,True
