document_id,document_name,paper_id,cg_n,cg_mean,cg_dispersion,effect_estimate,view_link,outcome_index,cg_n_num,cg_mean_num,cg_sd_num,outcome_domain,outcome_metric
,Studies on inspiratory and expiratory glossopharyngeal breathing,Lindholm2005,5,7.8,,,,3,5,7.8,,Physiological,VC
,Effects of a 4-week training with voluntary hypoventilation,Woorons2008,8,45.8,,,,4,8,45.8,,Physiological,VO2max
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014,38,76.22,34.15,,,7,38,76.22,34.15,performance,S (mm2)
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014,38,7.06,1.68,,,8,38,7.06,1.68,Performance,"Mean velocity of CP displacement (V, mm/s)"
,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Sakamoto2015,15,234.0,58.4,,,10,15,234,58.4,Performance,Peak Torque 60/s (Nm)
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015,14,2.9,0.5,,,11,14,2.9,0.5,physiological,FVC
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015,14,3.8,0.8,,,12,14,3.8,0.8,Physiological,FEV1
,Yogic breathing practices improve lung functions of competitive young swimmers,Hakked2017,13,3.08,0.86,,,15,13,3.08,0.86,Physiological,Maximum Voluntary Ventilation (MVV)
,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Kacoglu2017,14,1.92,0.11,,,16,14,1.92,0.11,Performance,10-m sprint time (s)
,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming,Trincat2017,8,0,0,,,18,8,0,0,Physiological,Time at SpO2 <= 88% (s)
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017,12,53,6,,,19,12,53,6,physiological,VO2max
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017,12,115,7,,,20,12,115,7,Performance,200-yard time trial (s)
,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Woorons2017,9,58.4,17.0,,,21,9,58.4,17,physiological,Breathing frequency
,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Woorons2017,9,2.34,0.7,,,22,9,2.34,0.7,Physiological,Tidal Volume (Vt) S1 (L)
,Repeated-sprint training in hypoxia induced by voluntary hypoventilation,FornasierSantos2018,10,7.13,0.37,,,23,10,7.13,0.37,performance,RV
,Effects of deep-breathing protocols on swimming performance,Gray2018,7,2.9,1.58,,,24,7,2.9,1.58,physiological,Blood lactate
,Effects of deep-breathing protocols on swimming performance,Gray2018,7,1.75,0.12,,,25,7,1.75,0.12,Performance,50-yard freestyle time (s)
,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Lim2018,10,2.30,0.55,,,26,10,2.3,0.55,physiological,VCO2p
,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Lim2018,10,2.11,0.38,,,27,10,2.11,0.38,Physiological,VO2p (L/min)
,Effects of hyperventilation on repeated pedaling sprint performance,Sakamoto2018,15,73.6,16.6,,,28,15,73.6,16.6,physiological,VE
,Effects of hyperventilation on repeated pedaling sprint performance,Sakamoto2018,15,1692.0,218.8,,,29,15,1692,218.8,Physiological,VO2 (ml/min) SP1
,Influence of slow-paced breathing on inhibition after physical exertion,Laborde2019,60,0.81,0.86,,,31,60,0.81,0.86,cognitive,Stroop errors
,Influence of slow-paced breathing on inhibition after physical exertion,Laborde2019,60,63.00,11.64,,,32,60,63,11.64,Performance,Number of Burpees
,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Woorons2019,10,114.6,3.6,,,33,10,114.6,3.6,physiological,PETO2
,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Woorons2019,10,114.6,3.6,,,34,10,114.6,3.6,Physiological,SpO2
,Physiological adaptations to repeated sprint training in hypoxia,Woorons2019b,9,-12.0,9,,,35,9,-12,9,performance,RSA Sdec
,Physiological adaptations to repeated sprint training in hypoxia,Woorons2019b,9,852,69,,,36,9,852,69,Performance,RSA mean MPO (W)
,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Lapointe2020,6,18.63,1.75,,,38,6,18.63,1.75,performance,VIFT
,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Lapointe2020,6,6.46,2.50,,,39,6,6.46,2.5,Performance,RSASdec (%)
,Effects of pre-race apneas on 400-m freestyle swimming performance,Robertson2020,10,9.84,3.67,,,40,10,9.84,3.67,physiological,Blood lactate
,Effects of pre-race apneas on 400-m freestyle swimming performance,Robertson2020,10,278.66,13.31,,,41,10,278.66,13.31,Performance,400-m freestyle time (s)
,Impact of a Breathing Intervention on Engagement,Bahensky2021,23,2.98,1.35,,,44,23,2.98,1.35,physiological,Subclavian pressure
,Impact of a Breathing Intervention on Engagement,Bahensky2021,23,1.42,0.52,,,45,23,1.42,0.52,Physiological,Abdominal pressure at 3W/kg
,Wim Hof breathing method,Citherlet2021,15,97,1,,,46,15,97,1,physiological,SpO2
,Breath holding during heavy-intensity Fartlek exercise,Grossman2021,10,2.55,0.65,,,48,10,2.55,0.65,physiological,VCO2
,Breath holding during heavy-intensity Fartlek exercise,Grossman2021,10,2.24,0.40,,,49,10,2.24,0.4,Physiological,VO2 (L/min)
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021,47,303.28,225.36,,,50,47,303.28,225.36,performance,NMT
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021,47,783.61,339.63,,,51,47,783.61,339.63,Performance,Reaction Time (RT) (ms)
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022,21,61.29,28.05,,,54,21,61.29,28.05,physiological,RMSSD
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022,23,35.91,16.21,,,55,23,35.91,16.21,Performance,Shooting Accuracy
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022,11,1.66,0.27,,,56,11,1.66,0.27,physiological,VT
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022,11,65.01,22.16,,,57,11,65.01,22.16,Physiological,VE
,Single slow-paced Breathing Session at six cycles per minute,You2023,75,98.23,40.70,,,58,75,98.23,40.7,physiological,SDNN
,Single slow-paced Breathing Session at six cycles per minute,You2023,75,62.84,35.96,,,59,75,62.84,35.96,Physiological,RMSSD (ms)
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress,Li2024,22,11.0,0.93,,,62,22,11,0.93,physiological,Average POCR
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress,Li2024,22,84.4,4.82,,,63,22,84.4,4.82,Physiological,Average Heart Rate (bpm)
,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers,Merlin2024,6,5.14,1.06,,,64,6,5.14,1.06,psychological,Total recovery
,Differences between diaphragmatic and abdominal breathing patterns in spirometric,Sikora2024,22,4.14,0.88,,,66,22,4.14,0.88,physiological,FEV1
,Differences between diaphragmatic and abdominal breathing patterns in spirometric,Sikora2024,22,4.05,0.95,,,67,22,4.05,0.95,Physiological,Vital Capacity (VC) (L)
,Hypoventilation training including maximal end-expiratory breath holding improves,Woorons2024,8,24.4,4.2,,,68,8,24.4,4.2,performance,Sdec
,Hypoventilation training including maximal end-expiratory breath holding improves,Woorons2024,8,246,64,,,69,8,246,64,Performance,MPOmean(5-8) (W)
,The effect of breathing strategy on lifted load during the bench press,Deniz2025,12,128.50,8.88,,,70,12,128.5,8.88,physiological,Post-exercise SBP
,The effect of breathing strategy on lifted load during the bench press,Deniz2025,12,2132.71,555.08,,,71,12,2132.71,555.08,Performance,Total Volume Lifted (kg)
,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Fernandez2025,13,87,7.9,,,72,13,87,7.9,Physiological,SpO2 at 30s (%)
,The effect of pre-exercise hyperventilation on repeated high-intensity inclined sprint performance,Fesseler2025,36,-12.27,2.44,,,73,36,-12.27,2.44,Performance,Cumulative elevation gain (Sprint 1)
