document_id,document_name,paper_id,adverse_events,adherence_rate,dropout_rate,feasibility_score,view_link,adherence_prop,dropout_prop,adherence_reported,dropout_reported,dropout_n,adverse_events_reported,safety_summary,main_limitations,risk_of_bias_concerns,extraction_notes
,Evidence for an inadequate hyperventilation inducing arterial hypoxemia,Durand2000.pdf,,,,,,,,,,,,,,,
,An Evaluation of Standardizing Target Ventilation,Spiering2004.pdf,,,,,,,,,,,,,,,
,Studies on inspiratory and expiratory glossopharyngeal breathing,Lindholm2005.pdf,,,,,,,,,,,,"Changes in intrathoracic blood volume, invagination of posterior trachea wall",small sample size,,
,Effects of a 4-week training with voluntary hypoventilation,Woorons2008.pdf,SpO2 dropped to 78-79%,,,,,,,,,,Yes,Severe hypoxemia,,,
,Hyperventilation as a strategy for improved repeated sprint performance,Sakamoto2014.pdf,"Dizziness, tingling",,,,,,,,,,Yes,Can be terminated at no cost if dizziness/tingling avoided,,,
,Acute apnea swimming: Metabolic responses and performance,Guimard2014.pdf,,,,,,,,,,,,,,,
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014.pdf,,,,,,,,,,,,,,,Assessed postural sway during apnea and hyperventilation.
,Pre-exercise hyperventilation can significantly increase performance,Jacob2015.pdf,,,,,,,,,,,,,,,
,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Sakamoto2015.pdf,,,,,,,,,,,,,,,
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015.pdf,,,,,,,,,,,,,,,
,Effect of voluntary hypocapnic hyperventilation on the metabolic response during Wingate anaerobic test,Fujii2015.pdf,,,,,,,,,,,,,,,Excerpt contains very limited information; primarily abstract/results.
,Hypoventilation Training at Supramaximal Intensity Improves Swimming Performance,Woorons2016.pdf,,,,,,,,,,,,,,,
,Yogic breathing practices improve lung functions of competitive young swimmers,Hakked2017.pdf,,,,,,,,,,,,,,,Only abstract/title info available
,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Kacoglu2017.pdf,,,,,,,,,,,,,,,
,Acute effects of psychological relaxation techniques between two physical tasks,Pelka2017.pdf,,,,,,,,,,,,,Reliance on self-report for sleep,,Evaluated multiple relaxation techniques
,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming,Trincat2017.pdf,,,,,,,,,,,,,,,
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017.pdf,,,,,,,,,,,,,,,
,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Woorons2017.pdf,,,,,,,,,,,,,,,Only abstract and methods excerpt available; full results not present.
,Repeated-sprint training in hypoxia induced by voluntary hypoventilation improves running repeated-sprint ability,FornasierSantos2018.pdf,"Injuries during matches, illness",~6.9 sessions,40,,,0.069,0.4,Yes,Yes,14,Yes,Injuries not directly attributed to breathing intervention,,High dropout,
,,Gray2018.pdf,,,,"Homogeneity of the sample population, limited number of subjects",,,,,,,,,,,
,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Lim2018.pdf,,,,Independent stimuli accommodated successfully,,,,,,,,,,,
,Effects of hyperventilation on repeated pedaling sprint performance: short vs. long intervention duration,Sakamoto2018.pdf,Exaggerated discomfort sensation of increased ventilatory work,,12,,,,0.12,,Yes,2,Yes,,Transducer errors,,
,SaO2 Recovery in Freedivers,Fernandez2019.pdf,Pulmonary edema,,,,,,,,,,Yes,SaO2 can determine level of edema,,,
,Influence of slow-paced breathing on inhibition after physical exertion,Laborde2019.pdf,,,11,,,,0.11,,Yes,13,,,Technical problems with ECG,,
,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Woorons2019.pdf,,,,,,,,,,,,,,,
,Physiological adaptations to repeated sprint training in hypoxia induced by voluntary hypoventilation,Woorons2019b.pdf,,6 sessions,0,,,0.06,0,Yes,No,0,,,"Subjects not blinded, placebo effect possible",Placebo effect,
,Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance,Bouten2020.pdf,,,,,,,,,,,,,,,
,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Lapointe2020.pdf,,,,,,,,,,,,,,,
,Effects of pre-race apneas on 400-m freestyle swimming performance,Robertson2020.pdf,,,,,,,,,,,,,,,
,Hyperventilation-aided recovery for extra repetitions on bench press and leg press,Sakamoto2020.pdf,minor side effects,,,,,,,,,,Yes,"Minor side effects, can be immediately terminated",Cannot generalize to all training types,,
,Transferable benefits of cycle hypoventilation training for run-based performance in team-sport athletes,Woorons2020.pdf,,,,,,,,,,,,,,,
,Impact of a Breathing Intervention on Engagement...,Bahensky2021.pdf,,,,,,,,,,,,,,,
,Wim Hof breathing method...,Citherlet2021.pdf,,,,,,,,,,,,,,,
,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism,Dobashi2021.pdf,,,,,,,,,,,,,,,
,Frontiers in Physiology,Grossman2021.pdf,,,,,,,,,,,,,,,
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021.pdf,,,,,,,,,,,,,,,
,,Vaidya2021.pdf,,,,,,,,,,,,,,,
,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation...,Brocherie2022.pdf,"Injuries n=3, illness",,19,,,,0.19,,Yes,8,Yes,,,,
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022.pdf,,,,,,,,,,,,,,,
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022.pdf,,,,,,,,,,,,,,,
,Single slow-paced Breathing Session at six cycles per minute,You2023.pdf,,,4,,,,0.04,,Yes,3,,,,,
,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation,Braham2024.pdf,,,,,,,,,,,,,,,
,The Effects of Slow Breathing during Inter-Set Recovery on Power Performance in the Barbell Back Squat,Buxton2024.pdf,,,,,,,,,,,,,,,
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress...,Li2024.pdf,,,27,,,,0.27,,Yes,8,,,,,
,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers' Subjective Performance,Merlin2024.pdf,,,,,,,,,,,,,,,
,VHL during arm cycle ergometer,Rosa2024.pdf,,,,,,,,,,,,,,,
,Differences between diaphragmatic and abdominal breathing patterns in spirometric...,Sikora2024.pdf,,,,,,,,,,,,,,,
,Hypoventilation training including maximal end-expiratory breath holding improves...,Woorons2024.pdf,,,,,,,,,,,,,,,
,The effect of breathing strategy on lifted load during the bench press,Deniz2025.pdf,,,,,,,,,,,,,,,
