severity,paper_id,source_row,field,issue,value,expected_action
warning,Jacob2015.pdf,9,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Fujii2015.pdf,12,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Hakked2017.pdf,14,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Gray2018.pdf,21,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Woorons2019.pdf,26,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Robertson2020.pdf,30,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Woorons2020.pdf,32,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Bahensky2021.pdf,33,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Citherlet2021.pdf,34,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Vaidya2021.pdf,38,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Marko2022.pdf,41,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Braham2024.pdf,43,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Liapaki2025.pdf,55,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Lorinczi2025.pdf,56,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Yilmaz2025.pdf,57,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,FernandezBarradas2026.pdf,60,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Jing2026.pdf,62,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Raidl2026.pdf,65,N_Total,missing_or_unparseable_total_sample_size,NR,Add total sample size if reported; otherwise keep NR.
warning,Woorons2020.pdf,32,Primary_Outcome_Measure,primary_outcome_not_reported_in_extraction,NR,Extract the main outcome measure whenever possible.
