table,paper_id,source_row,issue
interventions,Lindholm2005,,other_or_unclear_bt_category
interventions,Citherlet2021,,other_or_unclear_bt_category
interventions,Marko2022,,other_or_unclear_bt_category
interventions,Deniz2025,,other_or_unclear_bt_category
interventions,Fernandez2025,,other_or_unclear_bt_category
interventions,Fox2025,,other_or_unclear_bt_category
interventions,Tomita2026,,other_or_unclear_bt_category
intervention_effects,Lindholm2005,3,incomplete_intervention_group_fields_for_smd
intervention_effects,Woorons2008,4,incomplete_intervention_group_fields_for_smd
intervention_effects,Devipriya2026,81,incomplete_intervention_group_fields_for_smd
intervention_effects,FernandezBarradas2026,82,incomplete_intervention_group_fields_for_smd
control_effects,Lindholm2005,3,incomplete_control_group_fields_for_smd
control_effects,Woorons2008,4,incomplete_control_group_fields_for_smd
control_effects,Devipriya2026,81,incomplete_control_group_fields_for_smd
control_effects,FernandezBarradas2026,82,incomplete_control_group_fields_for_smd
