paper_id,year,design,sport,bt_classification,comparator,arm_structure,outcome_domain,outcome_metric,timepoint,lower_is_better,ig_n,ig_mean,ig_sd,cg_n,cg_mean,cg_sd,reported_effect,n_allocated_ig,n_allocated_cg,dropout_n_ig,dropout_n_cg,adherence_n_ig,adherence_total_ig,adherence_rate_ig,adherence_n_cg,adherence_total_cg,adherence_rate_cg,any_ae_n_ig,any_ae_total_ig,any_ae_n_cg,any_ae_total_cg,ae_type,ae_n_ig,ae_n_cg,serious_ae_n_ig,serious_ae_n_cg,overall_ae_n,overall_ae_total,notes,source_quote,row_id,year_num,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,n_allocated_ig_num,n_allocated_cg_num,dropout_n_ig_num,dropout_n_cg_num,any_ae_n_ig_num,any_ae_total_ig_num,any_ae_n_cg_num,any_ae_total_cg_num,overall_ae_n_num,overall_ae_total_num,outcome_lower,lower_by_metric,lower_is_better_flag,direction_standardization_note,direction_multiplier,complete_for_smd,yi,vi,hedges_g_raw,variance_raw,hedges_g_normalized,variance_normalized,analysis_group
Bahensky2021,2021,RCT,non-sport exercise/performance,yoga-based breathing,normal training,parallel,Physiological,Abdominal pressure at 3W/kg,Post (8 weeks),FALSE,22,2.04,1.01,23,1.42,0.52,p < 0.05,23,23,,,,,,,,,,,,,0,46,One dropout due to medical reasons unrelated to intervention.,One participant did not complete the intervention for medical reasons unrelated to the intervention and was excluded,,,,,,1,2021,22,2.04,1.01,23,1.42,0.52,23,23,,,,,,,,,abdominal pressure at 3w/kg,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE,0.7634611701157027,0.09599715034034002,0.7634611701157027,0.09599715034034002,0.7634611701157027,0.09599715034034002,efficacy_physiological
Conlon2022,2022,RCT,mixed/various sports,slow diaphragmatic breathing,paced breathing (12 cpm),parallel,Performance,Shooting Accuracy,Post-intervention (Pressure test),FALSE,23,32.30,20.27,23,35.91,16.21,p > 0.05,23,23,,,,,,,,,,,,,,,,,,Compared slow diaphragmatic breathing to a paced breathing active control.,"There was no significant main effect for Group, F(2, 64) = 0.78, p = .461",,,2,2022,23,32.3,20.27,23,35.91,16.21,23,23,,,,,,,,,shooting accuracy,FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE,-0.19332694237581466,0.08739878635394847,-0.19332694237581466,0.08739878635394847,-0.19332694237581466,0.08739878635394847,efficacy_performance
Deniz2025,2025,Crossover,resistance/strength,exhalation,inhalation,crossover,Performance,Total Volume Lifted (kg),Post-exercise,FALSE,12,2410.42,395.06,12,2132.71,555.08,p = 0.025,12,12,0,0,12,12,100,12,12,100,0,12,0,12,None,0,0,0,0,0,12,Participants completed 3 breathing conditions counterbalanced.,"A significant difference was observed between the exhalation and inhalation conditions (Z = 2.245, r = 0.648, p = 0.025)",3,2025,12,2410.42,395.06,12,2132.71,555.08,12,12,0,0,0,12,0,12,0,12,total volume lifted (kg),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE,0.5565324375980183,0.17431074965130622,0.5565324375980183,0.17431074965130622,0.5565324375980183,0.17431074965130622,efficacy_performance
Devipriya2026,2026,Before-after,non-sport exercise/performance,Bhramari Pranayama,within-subject baseline,crossover,Performance,Visual Reaction Time (VRT) Right Hand (ms),Post-session,TRUE,60,201.35,19.62,60,223.67,21.48,p < 0.0001,60,60,0,0,60,60,100,60,60,100,0,60,0,60,None,0,0,0,0,0,60,Baseline values used as CG.,"VRT demonstrated superior improvements, with the right hand decreasing from 223.67 ms to 201.35 ms",4,2026,60,201.35,19.62,60,223.67,21.48,60,60,0,0,0,60,0,60,0,60,visual reaction time (vrt) right hand (ms),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE,-1.0781074510682926,0.03833247103725632,-1.0781074510682926,0.03833247103725632,1.0781074510682926,0.03833247103725632,efficacy_performance
Fernandez2025,2025,Crossover,freediving,hook breathing,usual breathing,crossover,Physiological,SpO2 at 30s (%),30s Post-apnea,FALSE,13,92,9,13,87,7.9,p = 0.022,13,13,0,0,13,13,100,13,13,100,4,13,4,13,mild pulmonary edema,4,4,0,0,4,13,1 participant excluded for severe pulmonary edema.,"Four participants showed signs of mild pulmonary edema, after diving, coinciding in both protocols",5,2025,13,92,9,13,87,7.9,13,13,0,0,4,13,4,13,4,13,spo2 at 30s (%),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE,0.5717872580650508,0.16119032743362505,0.5717872580650508,0.16119032743362505,0.5717872580650508,0.16119032743362505,efficacy_physiological
Fesseler2025,2025,Crossover,running,pre-exercise hyperventilation,spontaneous breathing,crossover,Performance,Cumulative elevation gain (Sprint 1),Post-sprint,FALSE,36,-12.89,2.78,36,-12.27,2.44,p = 0.1901,36,36,0,0,36,36,100,36,36,100,0,36,0,36,None,0,0,0,0,0,36,Values for cumulative elevation gain were negative in text.,"sprint 1 (-12.89 ± 2.78 vs. -12.27 ± 2.44, MD = -0.66 [95% CI: -1.63, 0.33], P = 0.1901)",6,2025,36,-12.89,2.78,36,-12.27,2.44,36,36,0,0,0,36,0,36,0,36,cumulative elevation gain (sprint 1),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE,-0.234495192784092,0.05595838174178832,-0.234495192784092,0.05595838174178832,-0.234495192784092,0.05595838174178832,efficacy_performance
Gray2018,2018,Crossover,swimming,slow-paced breathing (30s),no deep breathing,crossover,Performance,50-yard freestyle time (s),Post-exercise,TRUE,7,28.18,1.59,7,28.45,1.90,p = 0.37,7,7,0,0,7,7,100,7,7,100,0,7,0,7,None,0,0,0,0,0,7,Time improvements were not statistically significant.,Average velocity for the 50-yard freestyle was higher for the DB30 compared to DBNO (1.77 ± 0.10 yards/sec vs. 1.76 ± 0.12 yards/sec p=0.37),7,2018,7,28.18,1.59,7,28.45,1.9,7,7,0,0,0,7,0,7,0,7,50-yard freestyle time (s),TRUE,TRUE,Hedges' g multiplied by -1 so positive values favor the breathing intervention,-1,TRUE,-0.14424827772747284,0.28672745242339587,-0.14424827772747284,0.28672745242339587,0.14424827772747284,0.28672745242339587,efficacy_performance
Grossman2021,2021,Crossover,cycling,breath holding (CONLD-BH),free-breathing (CONLD),crossover,Physiological,VO2 (L/min),Post-exercise,FALSE,10,2.15,0.42,10,2.12,0.35,p > 0.05,10,10,0,0,10,10,100,10,10,100,0,10,0,10,None,0,0,0,0,0,10,,VO2 was unchanged with the addition of the 5 s apneic periods,8,2021,10,2.15,0.42,10,2.12,0.35,10,10,0,0,0,10,0,10,0,10,vo2 (l/min),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE,0.07431534318475218,0.20016980937619383,0.07431534318475218,0.20016980937619383,0.07431534318475218,0.20016980937619383,efficacy_physiological
Hakked2017,2017,RCT,swimming,pranayama/yogic breathing,usual training,parallel,Physiological,Maximum Voluntary Ventilation (MVV),Post (30 days),FALSE,14,115.45,31.44,13,97.65,20.37,p = 0.02,15,15,1,2,14,14,100,13,13,100,0,14,0,13,None,0,0,0,0,0,27,"Dropouts: 1 YBP, 2 Control. 100% adherence among completers.","ANCOVA test showed a significant improvement in Maximum Voluntary Ventilation (MVV) (F(1,22) = 6.06, p = 0.02)",9,2017,14,115.45,31.44,13,97.65,20.37,15,15,1,2,0,14,0,13,0,27,maximum voluntary ventilation (mvv),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE,0.6463007639274847,0.15733140160722703,0.6463007639274847,0.15733140160722703,0.6463007639274847,0.15733140160722703,efficacy_physiological
Iskra2026,2026,Crossover,non-sport exercise/performance,slow-paced breathing (6 CPM),paced breathing (15 CPM),crossover,Physiological,RMSSD (ms),During intervention,FALSE,38,75.97,28.48,38,49.95,25.37,p < 0.001,38,38,0,0,38,38,100,38,38,100,,,,,breathing discomfort,,,0,0,,,Breathing discomfort measured separately. SPB6 showed higher HRV.,"during SPB6, logRMSSD values were significantly higher compared to PB15, t(54) = 8.69, p < 0.001",10,2026,38,75.97,28.48,38,49.95,25.37,38,38,0,0,,,,,,,rmssd (ms),FALSE,FALSE,Positive Hedges' g favors the breathing intervention,1,TRUE,0.9549635976352021,0.0589424620585286,0.9549635976352021,0.0589424620585286,0.9549635976352021,0.0589424620585286,efficacy_physiological
