paper_id,ai,bi,ci,di,yi,vi,analysis_group
Deniz2025,0,12,0,12,0,3.8461538461538463,feasibility_dropout_rr
Devipriya2026,0,60,0,60,0,3.9672131147540988,feasibility_dropout_rr
Fernandez2025,0,13,0,13,0,3.857142857142857,feasibility_dropout_rr
Fesseler2025,0,36,0,36,0,3.9459459459459456,feasibility_dropout_rr
Gray2018,0,7,0,7,0,3.75,feasibility_dropout_rr
Grossman2021,0,10,0,10,0,3.8181818181818183,feasibility_dropout_rr
Hakked2017,1,14,2,13,-0.5108256237659907,0.9416666666666667,feasibility_dropout_rr
Iskra2026,0,38,0,38,0,3.948717948717949,feasibility_dropout_rr
Kacoglu2017,0,14,0,14,0,3.8666666666666667,feasibility_dropout_rr
Kasap2025,0,40,0,40,0,3.951219512195122,feasibility_dropout_rr
Lapointe2020,2,7,2,6,-0.10536051565782634,0.588888888888889,feasibility_dropout_rr
Li2024,8,22,8,22,0,0.17077798861480076,feasibility_dropout_rr
Lim2018,0,10,0,10,0,3.8181818181818183,feasibility_dropout_rr
Malakhov2014,0,38,0,38,0,3.948717948717949,feasibility_dropout_rr
Merlin2024,0,7,0,6,-0.1335313926245223,3.732142857142857,feasibility_dropout_rr
Pelka2017,0,27,0,27,0,3.928571428571429,feasibility_dropout_rr
Robertson2020,0,10,0,10,0,3.8181818181818183,feasibility_dropout_rr
Sakamoto2014,0,15,0,15,0,3.875,feasibility_dropout_rr
Sakamoto2015,0,15,0,15,0,3.875,feasibility_dropout_rr
Sakamoto2018,2,15,2,15,0,0.6888888888888889,feasibility_dropout_rr
Stavrou2015,0,14,0,14,0,3.8666666666666667,feasibility_dropout_rr
Taylor2021,0,47,0,47,0,3.9583333333333335,feasibility_dropout_rr
Tomita2026,0,26,0,26,0,3.9259259259259256,feasibility_dropout_rr
Trincat2017,0,8,0,8,0,3.7777777777777777,feasibility_dropout_rr
Woorons2016,0,8,1,7,-1.09861228866811,2.444444444444444,feasibility_dropout_rr
Woorons2017,0,9,0,9,0,3.8,feasibility_dropout_rr
Woorons2019b,0,9,0,9,0,3.8,feasibility_dropout_rr
Woorons2024,1,9,2,8,-0.5108256237659907,0.8848484848484848,feasibility_dropout_rr
You2023,3,75,3,75,0,0.5461121157323688,feasibility_dropout_rr
Burtch2017,0,13,0,12,-0.07410797215372167,3.8516483516483517,feasibility_dropout_rr
Buxton2024,0,18,0,18,0,3.8947368421052633,feasibility_dropout_rr
Chiron2026,0,11,0,11,0,3.8333333333333335,feasibility_dropout_rr
Katz2026,0,40,0,40,0,3.951219512195122,feasibility_dropout_rr
