sport_discipline,n,relative_frequency,label
cycling,12,0.18461538461538463,12 (18.5%)
swimming,11,0.16923076923076924,11 (16.9%)
non-sport exercise/performance,9,0.13846153846153847,9 (13.8%)
running,9,0.13846153846153847,9 (13.8%)
team sports,8,0.12307692307692308,8 (12.3%)
resistance/strength,5,0.07692307692307693,5 (7.7%)
freediving,3,0.046153846153846156,3 (4.6%)
mixed/various sports,3,0.046153846153846156,3 (4.6%)
endurance,2,0.03076923076923077,2 (3.1%)
winter sports,2,0.03076923076923077,2 (3.1%)
combat sports,1,0.015384615384615385,1 (1.5%)
