document_id,document_name,paper_id,n_total,age_mean,age_sd,sex_ratio,view_link,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,male_n,female_n
,Evidence for an inadequate hyperventilation inducing arterial hypoxemia,Durand2000,22,23.9,1.3,100,,22,23.9,1.3,1,22,0
,An Evaluation of Standardizing Target Ventilation,Spiering2004,78,,,32,,78,,,0.32,24.96,53.03999999999999
,Studies on inspiratory and expiratory glossopharyngeal breathing,Lindholm2005,5,,,,,5,,,,,
,Effects of a 4-week training with voluntary hypoventilation,Woorons2008,16,27.1,6.0,,,16,27.1,6,,,
,Acute apnea swimming: Metabolic responses and performance,Guimard2014,15,21.9,0.9,100,,15,21.9,0.9,1,15,0
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014,66,19.8,1.0,44,,66,19.8,1,0.44,29.04,36.96
,Hyperventilation as a strategy for improved repeated sprint performance,Sakamoto2014,15,,,,,15,,,,,
,Effect of voluntary hypocapnic hyperventilation on the metabolic response,Fujii2015,11,,,,,11,,,,,
,Pre-exercise hyperventilation can significantly increase performance,Jacob2015,14,,,,,14,,,,,
,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Sakamoto2015,15,21.2,3.7,73,,15,21.2,3.7,0.73,10.95,4.050000000000001
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015,28,,,50,,28,,,0.5,14,14
,Hypoventilation Training at Supramaximal Intensity Improves Swimming Performance,Woorons2016,16,,,75,,16,,,0.75,12,4
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017,25,,,,,25,,,,,
,Yogic breathing practices improve lung functions of competitive young swimmers,Hakked2017,30,,,,,30,,,,,
,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Kacoglu2017,14,,,,,14,,,,,
,Acute effects of psychological relaxation techniques,Pelka2017,27,25.22,1.08,70,,27,25.22,1.08,0.7,18.9,8.100000000000001
,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming,Trincat2017,16,15.55,1.8,56,,16,15.55,1.8,0.56,8.96,7.039999999999999
,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Woorons2017,9,27.2,9.3,89,,9,27.2,9.3,0.89,8.01,0.9899999999999999
,Repeated-sprint training in hypoxia induced by voluntary hypoventilation,FornasierSantos2018,35,,,100,,35,,,1,35,0
,Effects of deep-breathing protocols on swimming performance,Gray2018,7,,,0,,7,,,0,0,7
,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Lim2018,10,24,3,100,,10,24,3,1,10,0
,Effects of hyperventilation on repeated pedaling sprint performance,Sakamoto2018,17,,,88,,17,,,0.88,14.96,2.04
,SaO2 Recovery in Freedivers,Fernandez2019,25,,,100,,25,,,1,25,0
,Influence of slow-paced breathing on inhibition after physical exertion,Laborde2019,120,25.57,2.52,58,,120,25.57,2.52,0.58,69.6,50.400000000000006
,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Woorons2019,10,,,,,10,,,,,
,Physiological adaptations to repeated sprint training in hypoxia,Woorons2019b,18,34.6,11,100,,18,34.6,11,1,18,0
,Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance,Bouten2020,11,22.1,1.5,,,11,22.1,1.5,,,
,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Lapointe2020,17,22.3,1.2,71,,17,22.3,1.2,0.71,12.07,4.930000000000001
,Effects of pre-race apneas on 400-m freestyle swimming performance,Robertson2020,9,19,1.5,67,,9,19,1.5,0.67,6.03,2.9699999999999998
,Hyperventilation-aided recovery for extra repetitions on bench press and leg press,Sakamoto2020,11,22.5,4.3,100,,11,22.5,4.3,1,11,0
,Transferable benefits of cycle hypoventilation training,Woorons2020,16,,,,,16,,,,,
,Impact of a Breathing Intervention on Engagement,Bahensky2021,46,,,,,46,,,,,
,Wim Hof breathing method,Citherlet2021,16,,,,,16,,,,,
,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism,Dobashi2021,11,24,2,91,,11,24,2,0.91,10.01,0.9899999999999997
,Breath holding during heavy-intensity Fartlek exercise,Grossman2021,10,23.7,2.5,100,,10,23.7,2.5,1,10,0
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021,47,21.3,2.8,36,,47,21.3,2.8,0.36,16.919999999999998,30.080000000000002
,Effect of Yoga on Performance and Physical Fitness in Cricket Bowlers,Vaidya2021,30,,,,,30,,,,,
,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation,Brocherie2022,43,16.7,1.5,100,,43,16.7,1.5,1,43,0
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022,67,,,,,67,,,,,
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022,23,,,,,23,,,,,
