document_id,document_name,paper_id,bt_classification,dose_frequency,dose_duration,comparator_type,view_link,bt_category,dose_duration_days,dose_frequency_week,breathing_category,technique_description,device_free,biofeedback_used,comparator_description,intervention_timing,session_duration,supervision
,Evidence for an inadequate hyperventilation inducing arterial hypoxemia,Durand2000.pdf,Exercise-induced hypoxemia,,,observational comparison,,hypoventilation,,,hypoventilation,Observational study of hypoventilation during maximal exercise,,,Athletes without EIH,,,
,An Evaluation of Standardizing Target Ventilation,Spiering2004.pdf,Eucapnic voluntary hyperventilation,1,6 min,,,hyperventilation,0.004166666666666667,1,voluntary hyperventilation,Hyperventilation of a 5% CO2 dry gas mixture for 6 mins at 30x FEV1,No,,,Baseline/Testing,6 min,Yes
,Studies on inspiratory and expiratory glossopharyngeal breathing,Lindholm2005.pdf,Glossopharyngeal breathing,1,Acute,within-subject baseline,,other_unclear,1,1,other breath-regulation,"Glossopharyngeal inhalation to increase lung volume above TLC, exhalation to suck air below RV",Yes,No,normal vital capacity and residual volume,Pre-dive equivalent,Acute,Yes
,Effects of a 4-week training with voluntary hypoventilation,Woorons2008.pdf,Voluntary hypoventilation at low pulmonary volumes,,4 weeks,usual training,,hypoventilation,28,,hypoventilation,Expiration down to residual volume,Yes,No,Normal breathing running training,During training,,Yes
,Hyperventilation as a strategy for improved repeated sprint performance,Sakamoto2014.pdf,Hyperventilation,10 sets,Acute,usual breathing,,hyperventilation,1,10,voluntary hyperventilation,Hyperventilation before sprint pedaling,Yes,No,Control without hyperventilation,Pre-sprint,10s sprint,Yes
,Acute apnea swimming: Metabolic responses and performance,Guimard2014.pdf,Apnea series,1,Acute,,,breath_holding,1,1,breath holding/apnea,Acute apnea swimming,Yes,No,,During swimming,,Yes
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014.pdf,Maximal voluntary hyperventilation and inspiratory breath-holding,1,Acute,usual breathing,,hyperventilation,1,1,mixed protocol,Maximal inspiratory breath-holding and maximal voluntary hyperventilation,Yes,No,Quiet breath and untrained controls,During exercise,20s,Yes
,Pre-exercise hyperventilation can significantly increase performance,Jacob2015.pdf,Pre-exercise hyperventilation,1,Acute,usual breathing,,hyperventilation,1,1,voluntary hyperventilation,Hyperventilation before 50m sprint,Yes,No,Normal breathing (NO),Pre-exercise,Acute,
,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Sakamoto2015.pdf,Hyperventilation,8 sets,Acute,usual breathing,,hyperventilation,1,8,voluntary hyperventilation,Hyperventilation for 30s before each set,Yes,No,Control (spontaneous breathing),Pre-set,30s HV,Yes
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015.pdf,Intermittent breath holding (IBH),,16 weeks,usual breathing,,breath_holding,112,,breath holding/apnea,Intermittent breath holding during swimming,Yes,No,Self-selected breathing frequency,During training,,Yes
,Effect of voluntary hypocapnic hyperventilation on the metabolic response during Wingate anaerobic test,Fujii2015.pdf,Voluntary hypocapnic hyperventilation,1,Acute,usual breathing,,hyperventilation,1,1,voluntary hyperventilation,Hypocapnia induced by voluntary hyperventilation before 30-s WAnT,,,Control trial,Pre-exercise,Acute,
,Hypoventilation Training at Supramaximal Intensity Improves Swimming Performance,Woorons2016.pdf,Voluntary hypoventilation at low lung volume (VHL),2/week,5 weeks,usual training,,hypoventilation,35,2,hypoventilation,Supramaximal swimming with VHL,Yes,No,Normal breathing (CONT),During training,,Yes
,Yogic breathing practices improve lung functions of competitive young swimmers,Hakked2017.pdf,Yogic breathing,,,,,pranayama_yogic,,,pranayama/yogic breathing,Pranayama,Yes,No,,,,
,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Kacoglu2017.pdf,Hyperventilation,1,Acute,usual breathing,,hyperventilation,1,1,voluntary hyperventilation,30s hyperventilation before test,Yes,No,Normal ventilation,Pre-exercise,30s,Yes
,Acute effects of psychological relaxation techniques between two physical tasks,Pelka2017.pdf,Systematic breathing,1,Acute,no intervention,,paced_breathing,1,1,slow-paced breathing,systematic breathing between sprint sessions,Yes,No,Control,During recovery,25 min,Yes
,Repeated Sprint Training in Hypoxia Induced by Voluntary Hypoventilation in Swimming,Trincat2017.pdf,Voluntary hypoventilation,3/week,2 weeks,usual training,,hypoventilation,14,3,hypoventilation,Repeated sprints with VHL at low lung volume,Yes,No,Normal breathing (RSN),During training,,Yes
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017.pdf,Controlled frequency breathing (CFB),,,usual training,,other_unclear,,,other breath-regulation,CFB training,Yes,No,Stroke matched control group,During training,,Yes
,Acute effects of repeated cycling sprints in hypoxia induced by voluntary hypoventilation,Woorons2017.pdf,Voluntary hypoventilation at low lung volume,1,Acute,usual breathing,,hypoventilation,1,1,hypoventilation,VHL during repeated cycling sprints,Yes,No,Normal breathing (RSN),During exercise,Acute,Yes
,Repeated-sprint training in hypoxia induced by voluntary hypoventilation improves running repeated-sprint ability,FornasierSantos2018.pdf,Voluntary hypoventilation,2/week,4 weeks,usual training,,hypoventilation,28,2,hypoventilation,RSH-VHL,Yes,No,RSN (unrestricted breathing),During training,,Yes
,,Gray2018.pdf,two deep-breathing protocols,,,,,paced_breathing,,,slow-paced breathing,,,,,,,
,Physiological resolution of periodic breath holding during heavy-intensity Fartlek exercise,Lim2018.pdf,Periodic breath holding,1,Acute,usual breathing,,breath_holding,1,1,breath holding/apnea,5s breath holds during 30s cycles,Yes,No,Free-breathing period (CONT),During exercise,360s,Yes
,Effects of hyperventilation on repeated pedaling sprint performance: short vs. long intervention duration,Sakamoto2018.pdf,Hyperventilation,10 sets,Acute,usual breathing,,hyperventilation,1,10,voluntary hyperventilation,Short vs long duration hyperventilation before sprints,Yes,No,Control,Pre-sprint,10s sprint,Yes
,SaO2 Recovery in Freedivers,Fernandez2019.pdf,Freediving Apnea,2 dives,Acute,observational comparison,,breath_holding,1,2,breath holding/apnea,Free immersion dive,Yes,No,Fast vs slow recovery,During dive,,Yes
,Influence of slow-paced breathing on inhibition after physical exertion,Laborde2019.pdf,Slow-paced breathing,1,Acute,active non-breathing control,,paced_breathing,1,1,slow-paced breathing,SPB before or after physical exertion,Yes,No,Watching TV documentary,Post-exercise / Pre-exercise,5 min,Yes
,Cerebral and Muscle Oxygenation during Repeated Shuttle Run Sprints with Hypoventilation,Woorons2019.pdf,VHL,2 sets of 8 sprints,Acute,usual breathing,,hypoventilation,1,2,hypoventilation,Repeated sprints with hypoventilation,Yes,No,Normal breathing,During exercise,,Yes
,Physiological adaptations to repeated sprint training in hypoxia induced by voluntary hypoventilation,Woorons2019b.pdf,VHL,2/week,3 weeks,usual training,,hypoventilation,21,2,hypoventilation,Repeated sprints with voluntary hypoventilation,Yes,No,RSN,During training,,Yes
,Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance,Bouten2020.pdf,Acute apnea,1,Acute,usual breathing,,breath_holding,1,1,breath holding/apnea,Apnea modalities to acutely increase Hb,Yes,No,normal warmup,Pre-exercise,~5 min,Yes
,Impact of repeated-sprint training with voluntary hypoventilation on repeated-sprint ability,Lapointe2020.pdf,VHL,,,usual training,,hypoventilation,,,hypoventilation,Repeated sprint training with VHL,Yes,No,CTL,During training,,Yes
,Effects of pre-race apneas on 400-m freestyle swimming performance,Robertson2020.pdf,Pre-race apneas,3 apneas,Acute,usual breathing,,breath_holding,1,3,breath holding/apnea,Warm-up with a series of 3 apneas,Yes,No,Control and warm-up only,Pre-race,,Yes
,Hyperventilation-aided recovery for extra repetitions on bench press and leg press,Sakamoto2020.pdf,Hyperventilation,6 sets,Acute,usual breathing,,hyperventilation,1,6,voluntary hyperventilation,30s HV during 5 min recovery,Yes,No,Spontaneous breathing,During recovery,30s,Yes
,Transferable benefits of cycle hypoventilation training for run-based performance in team-sport athletes,Woorons2020.pdf,hypoventilation,,,,,hypoventilation,,,hypoventilation,,,,,,,
,Impact of a Breathing Intervention on Engagement...,Bahensky2021.pdf,deep breathing,,,,,other_unclear,,,other breath-regulation,,,,,,,
,Wim Hof breathing method...,Citherlet2021.pdf,Wim Hof Breathing Method,,,usual breathing,,hyperventilation,,,Wim Hof-type breathing,,,,SB and HV,,,
,Voluntary hypocapnic hyperventilation lasting 5 min and 20 min similarly reduce aerobic metabolism,Dobashi2021.pdf,Voluntary hypocapnic hyperventilation,,,usual breathing,,hyperventilation,,,voluntary hyperventilation,,,,,,,
,Frontiers in Physiology,Grossman2021.pdf,Fartlek / breath holding,,,,,breath_holding,,,breath holding/apnea,,,,,During exercise,,
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021.pdf,Fast and slow paced breathing,,,,,paced_breathing,,,mixed protocol,,,,,,,
,,Vaidya2021.pdf,,,,,,other_unclear,,,,,,,,,,
,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation...,Brocherie2022.pdf,VHL,,5 weeks,usual training,,hypoventilation,35,,hypoventilation,,,,RSN,During training,,
