document_id,document_name,paper_id,adverse_events,adherence_rate,dropout_n_total,allocated_n_total,dropout_rate,feasibility_score,view_link,adherence_prop,dropout_prop,dropout_n_ig_num,dropout_n_cg_num,n_allocated_ig_num,n_allocated_cg_num,any_ae_reported,overall_ae_n,overall_ae_total,serious_ae_n,safety_summary,feasibility_source_quote,n_total_num,bt_category
,Evidence for an inadequate hyperventilation inducing arterial hypoxemia,Durand2000,,,0,22,0,,,,0,,,12,10,unclear,,,,,,22,hypoventilation
,An Evaluation of Standardizing Target Ventilation,Spiering2004,,,0,78,0,,,,0,,,78,,unclear,,,,,,78,hyperventilation
,Studies on inspiratory and expiratory glossopharyngeal breathing,Lindholm2005,,,0,5,0,,,,0,,,5,,unclear,,,,,,5,other_unclear
,Effects of a 4-week training with voluntary hypoventilation,Woorons2008,,,0,16,0,,,,0,,,8,8,unclear,,,,,,16,hypoventilation
,Acute apnea swimming: Metabolic responses and performance,Guimard2014,,,0,30,0,,,,0,,,15,15,unclear,,,,,,15,breath_holding
,The Influence of Different Modes of Ventilation on Standing Balance of Athletes,Malakhov2014,,,0,66,0,,,,0,,,38,28,unclear,,,,,,66,hyperventilation
,Hyperventilation as a strategy for improved repeated sprint performance,Sakamoto2014,,,0,30,0,,,,0,,,15,15,unclear,,,,,,15,hyperventilation
,Effect of voluntary hypocapnic hyperventilation on the metabolic response,Fujii2015,,,0,22,0,,,,0,,,11,11,unclear,,,,,,11,hyperventilation
,Pre-exercise hyperventilation can significantly increase performance,Jacob2015,,,0,28,0,,,,0,,,14,14,unclear,,,,,,14,hyperventilation
,Hyperventilation-induced respiratory alkalosis falls short of countering fatigue,Sakamoto2015,,,0,30,0,,,,0,,,15,15,unclear,,,,,,15,hyperventilation
,Yogic breathing practices improve lung functions of competitive young swimmers,Stavrou2015,,,0,28,0,,,,0,0,0,14,14,unclear,,,,,,28,breath_holding
,Hypoventilation Training at Supramaximal Intensity Improves Swimming Performance,Woorons2016,,,1,16,0.0625,One dropout in CONT due to inability to breathe through snorkel.,,,0.0625,0,1,8,8,unclear,,,,,,16,hypoventilation
,Evidence of global respiratory muscle fatigue from a 2-minute swim race,Burtch2017,illness,,0,25,0,5 total dropouts.,,,0,,,13,12,yes,,25,,"because of travel, illness, and failure to comply with required number of training sessions, only 20 subjects completed","because of travel, illness, and failure to comply with required number of training sessions, only 20 subjects completed the final testing session.",25,paced_breathing
,Yogic breathing practices improve lung functions of competitive young swimmers,Hakked2017,,100,3,30,0.1,,,1,0.1,1,2,15,15,unclear,,,,,,30,pranayama_yogic
,The Acute Effects of Hyperventilation on Jumping and Sprinting Performance,Kacoglu2017,,,0,28,0,,,,0,,,14,14,unclear,,,,,,14,hyperventilation
,Acute effects of psychological relaxation techniques,Pelka2017,,,0,60,0,3 dropouts occurred during habituation.,,,0,,,30,30,unclear,,,,,Dropouts occurred during habituation (3 out of 30). 27 analysed.,27,paced_breathing
